lambda,thetai,phi,thetar,phir,f_r11,f_r12/f_r11,f_r13/f_r11,f_r14/f_r11,f_r21/f_r11,f_r22/f_r11,f_r23/f_r11,f_r24/f_r11,f_r31/f_r11,f_r32/f_r11,f_r33/f_r11,f_r34/f_r11,f_r41/f_r11,f_r42/f_r11,f_r43/f_r11,f_r44/f_r11
0.532,62.013882,-169.5421256,45.99615987,99.41228889,0.301504917,-0.026603879,-0.011970834,-0.00749285,0.030787283,-0.018171818,-0.017151249,-0.004768403,0.008459128,-0.014022616,-0.038665,-0.001567136,0.005822366,-0.02335174,-0.003681311,0.000697983
0.532,6.20837664,-105.1144225,64.89727897,113.2718742,0.305017513,-0.040777106,0.038137959,-0.00815758,-0.013011806,0.015021795,-0.012705063,-0.025030445,-0.012468994,0.011252178,-0.040690958,-0.016804883,-0.035238693,0.013851207,0.001995638,0.019741999
0.532,19.20569288,-107.1636422,14.33113253,33.33091776,0.327623015,0.00850164,-0.002560145,0.00440597,-0.013218502,0.053230428,0.003003551,-0.001545066,0.01551621,0.020324632,-0.022835345,0.002017865,-0.008982442,-0.002502571,-0.014076138,-0.006396335
0.532,70.13121667,-128.0491235,65.07056075,-140.1936332,0.289879725,0.006238617,0.004224399,0.004320689,0.00819475,0.075756665,-0.026822501,-0.002226099,-0.012481019,-0.021864849,-0.094186828,0.004572855,-3.98E-05,0.014118917,0.001839271,-0.027330124
0.532,38.95715436,-16.50405449,66.22163278,-102.4018431,0.292180244,-0.014051102,-0.019338759,0.008199786,0.029709348,0.005655767,-0.029694563,-0.015467715,0.018360082,-0.015464955,-0.043013013,0.001545865,-0.002505321,-0.038574515,-0.019546835,0.007664969
0.532,14.32866834,8.018786818,23.83353862,143.9125874,0.329072616,0.00833507,-0.004372575,0.00654466,0.011911496,0.039743822,0.008054626,-0.015859817,0.017638863,0.01550044,-0.029015531,-0.004388869,0.000152694,0.009402863,0.000611137,-0.02609527
0.532,43.2707667,150.2218972,72.72512071,-43.27549795,0.352975441,-0.021936212,0.0279098,-0.000425049,-0.002762405,-0.136577189,0.0727403,0.052095816,-0.01188508,-0.028138378,-0.178508817,0.015094834,0.005970385,0.053857909,-0.008547296,0.143450306
0.532,65.20086707,32.20320625,42.26449043,105.6555584,0.297401089,0.011732399,-0.003064742,0.000226172,0.013610209,0.023725114,0.024854797,0.017510824,0.000433065,0.022849736,-0.008062728,0.000356205,-0.002839574,-0.006375114,-0.028539647,0.023115178
0.532,50.6048835,-122.401202,44.02313293,145.5507803,0.310020808,-0.012168166,0.012634292,-0.009790223,-0.019506915,0.038843506,-0.007679251,-0.005013087,-0.005597672,-0.007588924,-0.010682753,0.002264117,0.010138955,-0.011904202,-0.002513197,0.00361261
0.532,26.07831634,-133.9759912,60.06391986,-173.2541801,0.297300651,-0.014515947,-0.012305668,-0.004681407,-0.01431615,0.003627198,-0.010880676,0.024429774,0.013054091,-0.003672233,-0.018978495,0.020020255,-0.013635344,0.00021004,0.003993938,-0.008223571
0.532,60.31792848,84.16112672,22.5368823,-25.5150027,0.313783482,-0.00374128,0.000804233,-0.010259405,-0.012685251,0.023311919,-0.025644718,0.005568555,0.007217511,-0.010375912,-0.015297982,-0.015322032,0.005527117,0.013593946,0.026585348,-0.001672652
0.532,56.10041951,-10.99550756,41.99402104,115.6542522,0.323021011,-0.010124269,0.030686646,-0.003389532,0.027203564,-0.02092412,0.056707497,0.011088457,-0.01806566,-0.020588793,-0.075788896,0.009666285,-0.011578042,0.029244405,-0.001733084,0.046483478
0.532,41.95636823,49.09256135,15.27678974,89.27451628,0.31762449,-0.006318733,-0.002372906,-0.007025098,-0.004791143,0.028951068,-0.00396562,0.016063457,-0.004844724,0.004013543,-0.026149679,-0.010383994,0.013414651,0.004336904,-0.01493821,-0.011598347
0.532,42.01738155,79.88930702,34.59396254,-175.3497265,0.314555587,0.036182083,-0.012651147,-0.015268707,-0.003527122,0.019548905,0.01647754,-0.012892539,0.0059852,0.007852967,-0.030533472,-0.003533706,-0.004808796,-0.011178055,-0.002802532,0.00809567
0.532,46.30142362,24.35850947,21.42030893,16.31697325,0.3100532,-0.003749638,-0.002471365,0.000557827,-0.00644076,0.031056964,0.001468519,0.003768731,-0.017056526,-0.002689968,-0.044850115,0.007393908,-0.007254474,0.00106867,-0.007214328,-0.009278037
0.532,58.82995252,-140.5228488,63.99351297,-53.18863508,0.30504641,0.035064524,0.01690138,-0.001908012,0.018025839,0.041391182,0.049765088,0.020195114,-0.008274737,0.00122486,0.002336239,0.035808315,-0.018236577,0.028066818,-0.019959932,0.023109856
0.532,39.07159131,-11.23551958,68.62096444,-162.2303837,0.325141874,0.026721568,-0.021732078,-0.002757566,0.026160029,0.094227339,-0.035609504,0.021000115,-0.010902066,0.032821422,0.079501641,0.058002281,0.002831639,-0.020912982,-0.056922473,0.074359075
