lambda,thetai,phi,thetar,phir,f_r11,f_r12/f_r11,f_r13/f_r11,f_r14/f_r11,f_r21/f_r11,f_r22/f_r11,f_r23/f_r11,f_r24/f_r11,f_r31/f_r11,f_r32/f_r11,f_r33/f_r11,f_r34/f_r11,f_r41/f_r11,f_r42/f_r11,f_r43/f_r11,f_r44/f_r11
0.351,-0.001,0,49.6034,-156.801,3.09E-01,0.00681963,-0.00948544,0.000797071,0.00699217,0.0271716,-0.0220671,-0.0224133,0.00338884,-0.0031389,-0.0545144,-0.0103834,-0.00450425,0.00221303,-0.00228728,-0.00937428
0.351,-0.001,0,46.7199,-164.055,3.14E-01,0.00563736,-0.0126517,0.000475572,0.000717148,0.0282492,0.0142214,0.00491226,0.00934546,-0.000273046,-0.036665,-0.00924113,0.00308207,0.000374835,0.00433359,-0.0173045
0.351,-0.001,0,45,-171.87,3.11E-01,0.00535545,-0.00205058,0.00287121,0.0120471,0.0254984,-0.0232605,-0.019602,0.00110414,0.00017749,-0.00853335,0.0218778,0.000209929,-0.00811191,-0.00702864,-0.0174473
0.351,-0.001,0,44.427,180,3.14E-01,0.0132686,0.00124964,0.00423338,0.00514218,0.0215917,0.01122,0.00770941,0.00338408,0.0077472,-0.0233218,0.005725,0.00631235,-0.00350797,-0.00583596,-0.00919163
0.351,-0.001,0,45,171.87,3.14E-01,-0.00540468,0.000436825,0.00267279,0.0026014,0.0309745,-0.00943253,2.89E-05,0.0093434,0.00441015,-0.0271839,0.00301347,-0.00313628,-0.0107125,0.011629,-0.00822397
0.351,-0.001,0,46.7199,164.055,3.12E-01,0.00713547,0.000572144,0.00676233,0.000589023,0.00630089,0.000413895,0.00765894,-0.0125263,0.0147563,-0.0136049,0.0122685,-0.00246755,-0.0111365,-0.0047039,-0.0113383
0.351,-0.001,0,49.6034,156.801,3.10E-01,-0.00715186,0.0166053,0.0117309,0.0135659,0.0364159,0.00755116,-0.00828789,-0.0071951,-0.000637137,-0.0146326,0.00547789,-0.0128644,0.00108849,-0.0125961,0.0116209
0.351,-0.001,0,53.7288,150.255,3.08E-01,0.010379,0.0204766,-0.0123594,-0.0039656,-0.00767962,0.00868854,0.0101911,-0.00688194,-0.00351194,-0.0214265,0.00299317,-0.0012937,0.0197831,-0.00632603,-0.00529783
0.351,-0.001,0,59.3427,144.462,3.00E-01,-0.008621,0.0089581,-0.000812469,0.0179664,0.028014,0.0113372,-0.0100272,-0.0032289,-0.00528602,-0.0335084,-0.0129256,-0.00782747,-0.000733291,-0.00643575,0.00351767
0.351,-0.001,0,67.2135,139.399,2.93E-01,-0.00136349,0.00808422,0.00559879,0.00634619,-0.00765235,-0.0156665,0.0262827,-0.00709606,-0.00830897,-0.056338,0.0119254,0.00246892,0.044475,0.0484196,-0.0293583
