lambda,Sta_01,Sta_02,Sta_03,Sta_04,Sta_05,Sta_06,Sta_07,Sta_08,Sta_09,Sta_10
546,0.65238,1.34849,1.32908,1.39864,1.46536,1.68019,1.44402,1.31378,0.77474,0.9022
547,0.65312,1.35005,1.33066,1.4002,1.46685,1.68228,1.44574,1.31521,0.77546,0.90328
548,0.65364,1.35113,1.33175,1.40128,1.46783,1.68378,1.44695,1.31618,0.77595,0.90406
549,0.65377,1.35141,1.33205,1.40156,1.46795,1.68429,1.44732,1.31641,0.776,0.90434
550,0.65356,1.35103,1.33167,1.40114,1.46735,1.68396,1.44697,1.31599,0.77564,0.90415
551,0.6529,1.34978,1.33038,1.39981,1.46583,1.68255,1.44569,1.31474,0.77477,0.90335
552,0.65166,1.34739,1.32794,1.39731,1.46308,1.67973,1.44324,1.31239,0.77322,0.90178
553,0.64983,1.34384,1.32437,1.39363,1.45913,1.67552,1.4396,1.30891,0.77099,0.8994
554,0.64761,1.33962,1.32009,1.38924,1.45443,1.67043,1.43521,1.30476,0.76831,0.89651
555,0.64522,1.33518,1.31556,1.3846,1.44947,1.66503,1.43055,1.30038,0.76545,0.89342
556,0.64288,1.33095,1.31119,1.38017,1.44474,1.65987,1.42609,1.29618,0.76269,0.89041
557,0.64077,1.32724,1.30731,1.37627,1.44056,1.65534,1.42216,1.29248,0.76019,0.8877
558,0.63867,1.32362,1.30351,1.37242,1.43646,1.65092,1.41829,1.28882,0.75768,0.88498
559,0.6365,1.31988,1.29961,1.36843,1.43224,1.64636,1.41429,1.28503,0.75507,0.88215
560,0.63432,1.31615,1.29574,1.36447,1.42806,1.64181,1.4103,1.28125,0.75246,0.8793
561,0.6323,1.31285,1.29235,1.36101,1.42441,1.63786,1.40681,1.27789,0.75007,0.87671
562,0.63059,1.3104,1.28979,1.3585,1.42178,1.63506,1.40427,1.27535,0.7481,0.87462
563,0.62917,1.30882,1.28803,1.35694,1.42018,1.63341,1.40269,1.27364,0.74656,0.87301
564,0.62777,1.30746,1.28646,1.35568,1.41893,1.6321,1.40144,1.27213,0.74508,0.87148
565,0.62617,1.30574,1.28457,1.3541,1.41738,1.63042,1.39987,1.27028,0.74338,0.86969
566,0.62443,1.30373,1.28241,1.35222,1.41553,1.62836,1.39798,1.26817,0.74149,0.86769
567,0.62269,1.30178,1.28033,1.35035,1.4137,1.6263,1.39611,1.2661,0.73961,0.8657
568,0.62126,1.30049,1.27893,1.34919,1.41262,1.62506,1.39495,1.2647,0.7381,0.86413
569,0.62004,1.29968,1.27803,1.34854,1.41211,1.62443,1.39433,1.26375,0.73685,0.86286
570,0.61887,1.29894,1.27718,1.34794,1.41164,1.62385,1.39375,1.26282,0.73564,0.86164
571,0.61761,1.29794,1.27606,1.34698,1.41078,1.62281,1.39281,1.26157,0.73429,0.86026
572,0.61643,1.29684,1.27484,1.34581,1.40963,1.62146,1.39165,1.26015,0.73293,0.85888
573,0.61549,1.29595,1.27387,1.34478,1.40855,1.62025,1.39066,1.25892,0.73179,0.85776
574,0.615,1.29563,1.27355,1.3443,1.40797,1.61971,1.39026,1.25828,0.73111,0.85719
575,0.6151,1.29622,1.27417,1.34475,1.40829,1.62026,1.39081,1.25852,0.73107,0.85738
576,0.61571,1.29763,1.27566,1.34613,1.40952,1.62192,1.39234,1.25961,0.7316,0.85828
577,0.6165,1.29928,1.2774,1.34783,1.41101,1.62395,1.3942,1.26096,0.73237,0.85949
578,0.61719,1.30057,1.27875,1.34918,1.4121,1.62556,1.39573,1.26199,0.73303,0.8606
579,0.61768,1.30134,1.27957,1.35004,1.41264,1.62656,1.39677,1.26256,0.73348,0.86147
580,0.61794,1.30163,1.27993,1.35051,1.41279,1.62711,1.39742,1.26275,0.7337,0.86209
581,0.6177,1.30115,1.27958,1.35046,1.41245,1.62697,1.39748,1.26227,0.73343,0.86216
582,0.61634,1.29898,1.2776,1.34912,1.41085,1.62518,1.39609,1.26025,0.73207,0.86097
583,0.61314,1.2939,1.27279,1.34535,1.4069,1.62036,1.39203,1.25546,0.72883,0.85763
584,0.60801,1.28568,1.2649,1.33885,1.40026,1.61211,1.38498,1.24766,0.72356,0.85196
585,0.60167,1.2756,1.2552,1.3308,1.39203,1.60185,1.37616,1.23811,0.71706,0.84488
586,0.59533,1.26582,1.24578,1.32307,1.38414,1.59192,1.36759,1.22883,0.71062,0.83788
