lambda,Sta_01,Sta_02,Sta_03,Sta_04,Sta_05,Sta_06,Sta_07,Sta_08,Sta_09,Sta_10
350,NA,NA,0.4883,0.54546,0.56468,NA,0.51308,0.61097,0.36204,0.36903
351,NA,NA,0.49991,0.55443,0.57365,NA,0.52172,0.62084,0.36801,0.37528
352,NA,NA,0.50984,0.56152,0.58068,NA,0.5286,0.6286,0.37273,0.38027
353,NA,NA,0.51596,0.56444,0.58341,NA,0.53155,0.6317,0.37468,0.38243
354,NA,NA,0.51584,0.56432,0.58304,NA,0.53175,0.63133,0.37358,0.38242
355,NA,NA,0.51518,0.56361,0.58207,NA,0.53139,0.6303,0.3721,0.38201
356,NA,NA,0.51494,0.56336,0.58158,NA,0.53146,0.62979,0.37093,0.38191
357,NA,NA,0.51411,0.56525,0.58314,NA,0.53311,0.63165,0.37087,0.38287
358,NA,NA,0.51477,0.56993,0.58752,NA,0.5372,0.63664,0.37252,0.38555
359,NA,NA,0.51725,0.57663,0.59399,NA,0.54321,0.64388,0.3755,0.38961
360,NA,NA,0.52254,0.5858,0.60291,NA,0.55156,0.65381,0.38034,0.39535
361,NA,NA,0.53606,0.60259,0.61951,NA,0.56716,0.67211,0.39074,0.40629
362,NA,NA,0.55311,0.62339,0.6402,NA,0.58652,0.69484,0.40372,0.41993
363,NA,NA,0.56933,0.64326,0.65994,NA,0.60502,0.71656,0.41611,0.43294
364,NA,NA,0.59095,0.66499,0.68186,NA,0.62549,0.74065,0.4297,0.4471
365,NA,NA,0.61227,0.68632,0.70336,NA,0.64559,0.7643,0.44304,0.46098
366,NA,NA,0.62758,0.7009,0.71794,NA,0.65934,0.78043,0.452,0.47032
367,NA,NA,0.6382,0.70866,0.72562,NA,0.66668,0.78918,0.45627,0.47531
368,NA,NA,0.64833,0.71483,0.73172,NA,0.67251,0.7963,0.45931,0.47936
369,NA,NA,0.65611,0.7184,0.73515,NA,0.67591,0.80052,0.46068,0.48167
370,NA,NA,0.65798,0.7178,0.73444,NA,0.67547,0.80012,0.4594,0.48117
371,NA,NA,0.65101,0.7128,0.72948,NA,0.67109,0.79487,0.45536,0.47766
372,NA,NA,0.6441,0.70783,0.72456,NA,0.66675,0.78965,0.45135,0.47418
373,NA,NA,0.64133,0.70738,0.72425,NA,0.66665,0.78946,0.45023,0.47373
374,NA,NA,0.6446,0.71152,0.72858,NA,0.6707,0.79406,0.45245,0.47622
375,NA,NA,0.64877,0.71666,0.73392,NA,0.67568,0.79976,0.4553,0.47938
376,NA,NA,0.65075,0.71937,0.73678,NA,0.67839,0.80276,0.45661,0.48092
377,NA,NA,0.6533,0.71896,0.73627,NA,0.67818,0.80226,0.45602,0.48034
378,NA,NA,0.65658,0.71688,0.73392,NA,0.67644,0.79987,0.45443,0.47863
379,NA,NA,0.65884,0.71372,0.73048,NA,0.67367,0.79629,0.45217,0.4762
380,NA,NA,0.65474,0.70615,0.72255,NA,0.66669,0.78783,0.44694,0.47085
381,NA,NA,0.63871,0.69126,0.70718,NA,0.6527,0.7713,0.43672,0.46068
382,NA,NA,0.6249,0.67873,0.69424,NA,0.64094,0.75741,0.42801,0.45208
383,NA,NA,0.62046,0.67635,0.69167,NA,0.63876,0.75484,0.4257,0.45025
384,NA,NA,0.61451,0.67634,0.69142,NA,0.63881,0.75475,0.42463,0.45005
385,NA,NA,0.60857,0.6767,0.69153,NA,0.63919,0.75506,0.42376,0.45009
386,NA,NA,0.60326,0.67767,0.69227,NA,0.64015,0.75604,0.4233,0.45055
387,NA,NA,0.61106,0.68741,0.70206,NA,0.64946,0.76683,0.42875,0.45681
388,NA,NA,0.62769,0.70311,0.71802,NA,0.66445,0.78428,0.43821,0.467
389,NA,NA,0.64158,0.71572,0.7308,NA,0.6765,0.79826,0.44573,0.47514
390,NA,NA,0.64794,0.72116,0.73622,NA,0.68177,0.80425,0.44879,0.47853
391,NA,NA,0.64844,0.72494,0.73978,NA,0.68543,0.80835,0.45077,0.48086
392,NA,NA,0.64986,0.7297,0.74434,NA,0.69002,0.81355,0.45337,0.48385
393,NA,NA,0.65561,0.73929,0.75384,NA,0.69918,0.82413,0.45898,0.49004
394,NA,NA,0.66246,0.75843,0.77311,NA,0.71738,0.84531,0.47003,0.50254
395,NA,NA,0.67481,0.78466,0.79962,NA,0.74229,0.8744,0.48544,0.51975
396,NA,NA,0.69194,0.81652,0.83187,NA,0.77253,0.90975,0.50432,0.54068
397,NA,NA,0.7305,0.86659,0.8827,NA,0.82001,0.96537,0.53438,0.57356
398,NA,NA,0.784,0.927,0.94409,NA,0.87725,1.03247,0.57071,0.61315
399,NA,NA,0.83369,0.98282,1.0008,NA,0.93016,1.09445,0.60419,0.6497
400,NA,NA,0.88252,1.03482,1.05365,NA,0.97952,1.15225,0.6354,0.68377
401,NA,NA,0.93961,1.08519,1.10495,NA,1.02758,1.20853,0.66596,0.71693
402,NA,NA,0.9861,1.12304,1.14351,NA,1.06381,1.25088,0.68883,0.74182
403,NA,NA,1.01715,1.14347,1.16433,NA,1.08352,1.27382,0.70102,0.75521
404,NA,NA,1.03571,1.15807,1.17918,NA,1.09767,1.29013,0.70958,0.76473
405,NA,NA,1.05071,1.16956,1.19088,NA,1.10888,1.30297,0.71624,0.7722
406,NA,NA,1.06458,1.17983,1.20133,NA,1.11892,1.31445,0.72215,0.77886
407,NA,NA,1.07383,1.1884,1.20988,NA,1.12723,1.32397,0.72677,0.78435
408,NA,NA,1.0796,1.19649,1.21776,NA,1.13495,1.33288,0.73085,0.78948
409,NA,NA,1.08645,1.20577,1.22686,NA,1.1438,1.34312,0.73567,0.79539
410,NA,NA,1.09663,1.21792,1.2389,NA,1.15537,1.35657,0.74224,0.80315
411,NA,NA,1.11055,1.23091,1.2519,NA,1.16772,1.37101,0.74936,0.81129
412,NA,NA,1.12237,1.24155,1.26252,NA,1.17785,1.38284,0.75506,0.81789
413,NA,NA,1.13136,1.24908,1.26997,NA,1.18502,1.3912,0.75886,0.82243
414,NA,NA,1.13952,1.25564,1.27648,NA,1.19131,1.39834,0.76206,0.82625
415,NA,NA,1.1456,1.25988,1.28065,NA,1.19541,1.40288,0.76386,0.82852
416,NA,NA,1.14885,1.261,1.28165,NA,1.19656,1.40395,0.76378,0.82875
