lambda,Sta_01,Sta_02,Sta_03,Sta_04,Sta_05,Sta_06,Sta_07,Sta_08,Sta_09,Sta_10
442,NA,NA,NA,NA,NA,NA,NA,1.49572,NA,NA
443,NA,NA,NA,NA,NA,NA,NA,1.51751,NA,NA
444,NA,NA,NA,NA,NA,NA,NA,1.54008,NA,NA
445,NA,NA,NA,NA,NA,NA,NA,1.56111,NA,NA
446,NA,NA,NA,NA,NA,NA,NA,1.5799,NA,NA
447,NA,NA,NA,NA,NA,NA,NA,1.5977,NA,NA
448,NA,NA,NA,NA,NA,NA,NA,1.61333,NA,NA
449,NA,NA,NA,NA,NA,NA,NA,1.62615,NA,NA
450,NA,NA,NA,NA,NA,NA,NA,1.63768,NA,NA
451,NA,NA,NA,NA,NA,NA,NA,1.64705,NA,NA
452,NA,NA,NA,NA,NA,NA,NA,1.65316,NA,NA
453,NA,NA,NA,NA,NA,NA,NA,1.65713,NA,NA
454,NA,NA,NA,NA,NA,NA,NA,1.66042,NA,NA
455,NA,NA,NA,NA,NA,NA,NA,1.66391,NA,NA
456,NA,NA,NA,NA,NA,NA,NA,1.66841,NA,NA
457,NA,NA,NA,NA,NA,NA,NA,1.67348,NA,NA
458,NA,NA,NA,NA,NA,NA,NA,1.67801,NA,NA
459,NA,NA,NA,NA,NA,NA,NA,1.68144,NA,NA
460,NA,NA,NA,NA,NA,NA,NA,1.68493,NA,NA
461,NA,NA,NA,NA,NA,NA,NA,1.68751,NA,NA
462,NA,NA,NA,NA,NA,NA,NA,1.68801,NA,NA
463,NA,NA,NA,NA,NA,NA,NA,1.68586,NA,NA
464,NA,NA,NA,NA,NA,NA,NA,1.68238,NA,NA
465,NA,NA,NA,NA,NA,NA,NA,1.67892,NA,NA
466,NA,NA,NA,NA,NA,NA,NA,1.67489,NA,NA
467,NA,NA,NA,NA,NA,NA,NA,1.67042,NA,NA
468,NA,NA,NA,NA,NA,NA,NA,1.66777,NA,NA
469,NA,NA,NA,NA,NA,NA,NA,1.66846,NA,NA
470,NA,NA,NA,NA,NA,NA,NA,1.67135,NA,NA
471,NA,NA,NA,NA,NA,NA,NA,1.67519,NA,NA
472,NA,NA,NA,NA,NA,NA,NA,1.67911,NA,NA
473,NA,NA,NA,NA,NA,NA,NA,1.68444,NA,NA
474,NA,NA,NA,NA,NA,NA,NA,1.69055,NA,NA
475,NA,NA,NA,NA,NA,NA,NA,1.69629,NA,NA
476,NA,NA,NA,NA,NA,NA,NA,1.70251,NA,NA
477,NA,NA,NA,NA,NA,NA,NA,1.70851,NA,NA
478,NA,NA,NA,NA,NA,NA,NA,1.71187,NA,NA
479,NA,NA,NA,NA,NA,NA,NA,1.7106,NA,NA
480,NA,NA,NA,NA,NA,NA,NA,1.70538,NA,NA
481,NA,NA,NA,NA,NA,NA,NA,1.69762,NA,NA
482,NA,NA,NA,NA,NA,NA,NA,1.68737,NA,NA
483,NA,NA,NA,NA,NA,NA,NA,1.67003,NA,NA
484,NA,NA,NA,NA,NA,NA,NA,1.65152,NA,NA
485,NA,NA,NA,NA,NA,NA,NA,1.6391,NA,NA
486,NA,NA,NA,NA,NA,NA,NA,1.63061,NA,NA
487,NA,NA,NA,NA,NA,NA,NA,1.62418,NA,NA
488,NA,NA,NA,NA,NA,NA,NA,1.62129,NA,NA
489,NA,NA,NA,NA,NA,NA,NA,1.62456,NA,NA
490,NA,NA,NA,NA,NA,NA,NA,1.6334,NA,NA
491,NA,NA,NA,NA,NA,NA,NA,1.6429,NA,NA
492,NA,NA,NA,NA,NA,NA,NA,1.64935,NA,NA
493,NA,NA,NA,NA,NA,NA,NA,1.65528,NA,NA
494,NA,NA,NA,NA,NA,NA,NA,1.65971,NA,NA
495,NA,NA,NA,NA,NA,NA,NA,1.66077,NA,NA
496,NA,NA,NA,NA,NA,NA,NA,1.65817,NA,NA
497,NA,NA,NA,NA,NA,NA,NA,1.65352,NA,NA
498,NA,NA,NA,NA,NA,NA,NA,1.64857,NA,NA
499,NA,NA,NA,NA,NA,NA,NA,1.64259,NA,NA
500,NA,NA,NA,NA,NA,NA,NA,1.63554,NA,NA
501,NA,NA,NA,NA,NA,NA,NA,1.63092,NA,NA
502,NA,NA,NA,NA,NA,NA,NA,1.63069,NA,NA
503,NA,NA,NA,NA,NA,NA,NA,1.63146,NA,NA
504,NA,NA,NA,NA,NA,NA,NA,1.63235,NA,NA
505,NA,NA,NA,NA,NA,NA,NA,1.63299,NA,NA
506,NA,NA,NA,NA,NA,NA,NA,1.6344,NA,NA
507,NA,NA,NA,NA,NA,NA,NA,1.63598,NA,NA
508,NA,NA,NA,NA,NA,NA,NA,1.63664,NA,NA
509,NA,NA,NA,NA,NA,NA,NA,1.63384,NA,NA
510,NA,NA,NA,NA,NA,NA,NA,1.62744,NA,NA
511,NA,NA,NA,NA,NA,NA,NA,1.61947,NA,NA
512,NA,NA,NA,NA,NA,NA,NA,1.60926,NA,NA
513,NA,NA,NA,NA,NA,NA,NA,1.59375,NA,NA
514,NA,NA,NA,NA,NA,NA,NA,1.57842,NA,NA
515,NA,NA,NA,NA,NA,NA,NA,1.5682,NA,NA
516,NA,NA,NA,NA,NA,NA,NA,1.55942,NA,NA
517,NA,NA,NA,NA,NA,NA,NA,1.55269,NA,NA
518,NA,NA,NA,NA,NA,NA,NA,1.55045,NA,NA
519,NA,NA,NA,NA,NA,NA,NA,1.55401,NA,NA
520,NA,NA,NA,NA,NA,NA,NA,1.56114,NA,NA
521,NA,NA,NA,NA,NA,NA,NA,1.56897,NA,NA
522,NA,NA,NA,NA,NA,NA,NA,1.57637,NA,NA
523,NA,NA,NA,NA,NA,NA,NA,1.58467,NA,NA
524,NA,NA,NA,NA,NA,NA,NA,1.59262,NA,NA
525,NA,NA,NA,NA,NA,NA,NA,1.59898,NA,NA
526,NA,NA,NA,NA,NA,NA,NA,1.60432,NA,NA
527,NA,NA,NA,NA,NA,NA,NA,1.60914,NA,NA
528,NA,NA,NA,NA,NA,NA,NA,1.61387,NA,NA
529,NA,NA,NA,NA,NA,NA,NA,1.61923,NA,NA
530,NA,NA,NA,NA,NA,NA,NA,1.62423,NA,NA
531,NA,NA,NA,NA,NA,NA,NA,1.62706,NA,NA
532,NA,NA,NA,NA,NA,NA,NA,1.62772,NA,NA
533,NA,NA,NA,NA,NA,NA,NA,1.62844,NA,NA
534,NA,NA,NA,NA,NA,NA,NA,1.62891,NA,NA
535,NA,NA,NA,NA,NA,NA,NA,1.62825,NA,NA
536,NA,NA,NA,NA,NA,NA,NA,1.62424,NA,NA
