lambda,Sta_01,Sta_02,Sta_03,Sta_04,Sta_05,Sta_06,Sta_07,Sta_08,Sta_09,Sta_10
681,0.59711,1.2424,1.12794,1.26229,1.24971,1.38693,1.18613,1.39315,0.62416,0.77947
682,0.58592,1.22199,1.10901,1.24157,1.22973,1.36433,1.16635,1.37,0.61262,0.76507
683,0.57273,1.19805,1.08693,1.21725,1.20612,1.33759,1.14298,1.34295,0.59907,0.74811
684,0.56138,1.17758,1.06812,1.19645,1.18592,1.31472,1.12297,1.31984,0.58743,0.73355
685,0.55192,1.16071,1.05266,1.17945,1.16942,1.29599,1.10659,1.30081,0.57778,0.72153
686,0.54358,1.14613,1.03938,1.16527,1.15569,1.28028,1.0928,1.28444,0.56941,0.71121
687,0.53575,1.13285,1.02741,1.15329,1.14421,1.26686,1.08095,1.26973,0.56174,0.70191
688,0.52725,1.11893,1.01507,1.14195,1.13355,1.25389,1.0694,1.25467,0.5537,0.69229
689,0.51854,1.10495,1.00286,1.13136,1.12369,1.2415,1.05835,1.23979,0.54565,0.68275
690,0.51132,1.09355,0.99311,1.12329,1.11619,1.23183,1.04969,1.2278,0.53911,0.67516
691,0.50995,1.0923,0.99274,1.12483,1.11777,1.23288,1.05042,1.22726,0.53845,0.67492
692,0.51425,1.10097,1.0014,1.1358,1.1284,1.2446,1.06049,1.23778,0.54351,0.68182
693,0.52055,1.11318,1.01318,1.15034,1.14261,1.26046,1.0742,1.25215,0.55059,0.69128
694,0.52373,1.11994,1.01994,1.15998,1.15219,1.27079,1.08306,1.26052,0.55462,0.69695
695,0.52411,1.12166,1.02211,1.16476,1.15708,1.27569,1.08717,1.2633,0.55585,0.69911
696,0.52306,1.12043,1.02155,1.16613,1.15858,1.2769,1.08807,1.26274,0.55547,0.69919
697,0.52197,1.1184,1.02012,1.16554,1.15801,1.27617,1.08734,1.2611,0.55475,0.69869
698,0.52283,1.11904,1.02087,1.16598,1.15817,1.27692,1.088,1.26204,0.55562,0.69997
699,0.52543,1.12243,1.02393,1.16811,1.15987,1.27985,1.09058,1.26576,0.55798,0.70299
700,0.52814,1.12618,1.02722,1.17052,1.16188,1.28317,1.09348,1.26979,0.5604,0.70607
701,0.52915,1.12732,1.02819,1.171,1.16212,1.28417,1.09431,1.27103,0.56128,0.70729
702,0.52923,1.12688,1.0278,1.17036,1.1613,1.28375,1.0939,1.27066,0.56129,0.70744
703,0.52969,1.12685,1.02779,1.16994,1.16063,1.28358,1.09371,1.27074,0.56161,0.70796
704,0.53179,1.12921,1.02985,1.17113,1.16139,1.28539,1.09528,1.27334,0.56338,0.71021
705,0.5351,1.13342,1.03353,1.17373,1.16344,1.28887,1.09832,1.27791,0.56624,0.71377
706,0.53895,1.1385,1.03793,1.17705,1.16618,1.29321,1.10206,1.28339,0.56962,0.71795
707,0.54242,1.143,1.0418,1.17993,1.16857,1.29706,1.10536,1.28822,0.57268,0.72171
708,0.5446,1.14542,1.04384,1.18117,1.16946,1.29903,1.10698,1.29082,0.57454,0.72403
709,0.54513,1.14514,1.04347,1.18026,1.16836,1.29849,1.10639,1.29051,0.57486,0.7245
710,0.54339,1.14116,1.03975,1.17647,1.1646,1.29455,1.10285,1.28622,0.57308,0.72237
711,0.5375,1.13019,1.02975,1.16723,1.15586,1.2842,1.09372,1.27444,0.56734,0.71539
712,0.52538,1.1086,1.01026,1.14959,1.13934,1.26392,1.0759,1.2513,0.55568,0.70115
713,0.50818,1.07794,0.98274,1.12428,1.11554,1.23469,1.05031,1.21846,0.53917,0.68093
714,0.48877,1.04338,0.95185,1.09559,1.08845,1.20146,1.02127,1.18142,0.52057,0.65817
715,0.47079,1.01149,0.92345,1.06911,1.06336,1.1707,0.99441,1.14726,0.50341,0.63722
716,0.45706,0.98738,0.90207,1.04928,1.04454,1.14759,0.97424,1.12152,0.49041,0.62144
717,0.44622,0.96847,0.88525,1.03391,1.02998,1.12971,0.95864,1.10135,0.48018,0.60906
718,0.43477,0.94857,0.86749,1.01781,1.0148,1.11099,0.9423,1.08012,0.46937,0.59593
719,0.42106,0.92465,0.84613,0.99839,0.99648,1.08835,0.92254,1.05457,0.45637,0.58009
720,0.40813,0.90194,0.82596,0.97993,0.979,1.06676,0.90365,1.03032,0.44409,0.56515
721,0.3994,0.88641,0.81225,0.96724,0.96684,1.05189,0.89061,1.01377,0.43581,0.55513
722,0.39692,0.88166,0.80815,0.96317,0.96272,1.04722,0.88645,1.00875,0.43348,0.55244
723,0.3994,0.88583,0.81197,0.96661,0.96576,1.05134,0.88996,1.01326,0.43591,0.55563
724,0.40414,0.89414,0.81942,0.97372,0.97234,1.05976,0.89717,1.02221,0.4405,0.56144
725,0.40784,0.90063,0.82515,0.97951,0.97777,1.06663,0.90302,1.02921,0.44405,0.56593
726,0.40862,0.90178,0.82604,0.98082,0.97898,1.0683,0.90434,1.0304,0.44469,0.56685
727,0.40924,0.90221,0.82637,0.98127,0.97926,1.06897,0.9048,1.03086,0.44513,0.56751
728,0.41377,0.90896,0.83237,0.98659,0.984,1.07545,0.91035,1.03811,0.44925,0.57269
729,0.42313,0.92374,0.84548,0.99822,0.99462,1.08948,0.9225,1.05398,0.45792,0.58345
730,0.43396,0.9408,0.86053,1.01146,1.00676,1.10557,0.93649,1.0723,0.46792,0.59582
731,0.44455,0.95725,0.87503,1.02395,1.01817,1.12087,0.94984,1.08993,0.47765,0.60783
732,0.45514,0.97349,0.88935,1.03611,1.02923,1.13583,0.9629,1.10731,0.48736,0.61979
733,0.46615,0.99017,0.90407,1.04855,1.04051,1.15114,0.97628,1.12517,0.49741,0.63216
734,0.4774,1.00674,0.91866,1.06059,1.05138,1.16614,0.9894,1.1429,0.50758,0.64466
735,0.48876,1.02295,0.93288,1.07192,1.06152,1.1805,1.00199,1.16025,0.51778,0.65714
736,0.49932,1.03743,0.94551,1.08153,1.07002,1.19298,1.01295,1.17573,0.52716,0.66856
737,0.50788,1.04856,0.95513,1.0885,1.07607,1.20233,1.02118,1.18765,0.53467,0.67768
738,0.51421,1.05612,0.96159,1.09285,1.07971,1.20846,1.02657,1.1958,0.5401,0.68426
739,0.51914,1.06143,0.96609,1.09554,1.08181,1.21253,1.03016,1.20155,0.54423,0.68927
740,0.52388,1.0664,0.97031,1.09803,1.08372,1.21632,1.0335,1.20697,0.5482,0.69409
741,0.52888,1.0718,0.9749,1.10096,1.08607,1.22059,1.03725,1.2129,0.55243,0.69921
742,0.53359,1.0769,0.97918,1.1038,1.08837,1.22469,1.04085,1.21852,0.55644,0.70407
743,0.53763,1.08118,0.98274,1.10616,1.09028,1.22815,1.04388,1.22325,0.55986,0.70821
744,0.54093,1.08464,0.98559,1.10803,1.09183,1.23097,1.04634,1.22711,0.56266,0.71162
745,0.54333,1.08692,0.98741,1.10908,1.09265,1.23276,1.04789,1.22965,0.56466,0.71408
746,0.54499,1.08832,0.98847,1.1096,1.09296,1.23382,1.04875,1.23122,0.56602,0.71577
747,0.546,1.0889,0.98882,1.10959,1.09276,1.23415,1.04898,1.23186,0.56681,0.71679
