lambda,Sta_01,Sta_02,Sta_03,Sta_04,Sta_05,Sta_06,Sta_07,Sta_08,Sta_09,Sta_10
558,NA,NA,NA,NA,NA,NA,NA,1.41033,NA,0.90615
559,NA,NA,NA,NA,NA,NA,NA,1.40671,NA,0.90376
560,NA,NA,NA,NA,NA,NA,NA,1.40346,NA,0.9016
561,NA,NA,NA,NA,NA,NA,NA,1.40074,NA,0.89958
562,NA,NA,NA,NA,NA,NA,NA,1.39872,NA,0.8978
563,NA,NA,NA,NA,NA,NA,NA,1.39707,NA,0.89617
564,NA,NA,NA,NA,NA,NA,NA,1.39523,NA,0.89439
565,NA,NA,NA,NA,NA,NA,NA,1.39254,NA,0.89209
566,NA,NA,NA,NA,NA,NA,NA,1.38904,NA,0.88931
567,NA,NA,NA,NA,NA,NA,NA,1.38572,NA,0.88663
568,NA,NA,NA,NA,NA,NA,NA,1.38343,NA,0.88454
569,NA,NA,NA,NA,NA,NA,NA,1.3816,NA,0.88273
570,NA,NA,NA,NA,NA,NA,NA,1.38011,NA,0.88118
571,NA,NA,NA,NA,NA,NA,NA,1.37911,NA,0.88001
572,NA,NA,NA,NA,NA,NA,NA,1.37836,NA,0.87898
573,NA,NA,NA,NA,NA,NA,NA,1.37778,NA,0.87811
574,NA,NA,NA,NA,NA,NA,NA,1.37751,NA,0.87766
575,NA,NA,NA,NA,NA,NA,NA,1.37773,NA,0.87781
576,NA,NA,NA,NA,NA,NA,NA,1.37845,NA,0.87837
577,NA,NA,NA,NA,NA,NA,NA,1.37926,NA,0.87906
578,NA,NA,NA,NA,NA,NA,NA,1.37995,NA,0.87978
579,NA,NA,NA,NA,NA,NA,NA,1.38109,NA,0.88088
580,NA,NA,NA,NA,NA,NA,NA,1.3822,NA,0.8819
581,NA,NA,NA,NA,NA,NA,NA,1.38252,NA,0.88221
582,NA,NA,NA,NA,NA,NA,NA,1.37976,NA,0.88053
583,NA,NA,NA,NA,NA,NA,NA,1.37424,NA,0.87712
584,NA,NA,NA,NA,NA,NA,NA,1.36767,NA,0.87294
585,NA,NA,NA,NA,NA,NA,NA,1.3595,NA,0.86751
586,NA,NA,NA,NA,NA,NA,NA,1.34851,NA,0.85996
587,NA,NA,NA,NA,NA,NA,NA,1.33752,NA,0.85231
588,NA,NA,NA,NA,NA,NA,NA,1.32838,NA,0.84586
589,NA,NA,NA,NA,NA,NA,NA,1.31896,NA,0.83913
590,NA,NA,NA,NA,NA,NA,NA,1.3117,NA,0.83395
591,NA,NA,NA,NA,NA,NA,NA,1.30964,NA,0.83249
592,NA,NA,NA,NA,NA,NA,NA,1.31002,NA,0.83261
593,NA,NA,NA,NA,NA,NA,NA,1.31078,NA,0.83287
594,NA,NA,NA,NA,NA,NA,NA,1.31164,NA,0.8333
595,NA,NA,NA,NA,NA,NA,NA,1.31321,NA,0.83452
596,NA,NA,NA,NA,NA,NA,NA,1.31596,NA,0.8369
597,NA,NA,NA,NA,NA,NA,NA,1.31906,NA,0.8396
598,NA,NA,NA,NA,NA,NA,NA,1.322,NA,0.84209
599,NA,NA,NA,NA,NA,NA,NA,1.32546,NA,0.84487
600,NA,NA,NA,NA,NA,NA,NA,1.32879,NA,0.84756
601,NA,NA,NA,NA,NA,NA,NA,1.33121,NA,0.8497
602,NA,NA,NA,NA,NA,NA,NA,1.33345,NA,0.85169
603,NA,NA,NA,NA,NA,NA,NA,1.3353,NA,0.85332
604,NA,NA,NA,NA,NA,NA,NA,1.33613,NA,0.85408
605,NA,NA,NA,NA,NA,NA,NA,1.33587,NA,0.85414
606,NA,NA,NA,NA,NA,NA,NA,1.33514,NA,0.85409
607,NA,NA,NA,NA,NA,NA,NA,1.33411,NA,0.8539
608,NA,NA,NA,NA,NA,NA,NA,1.33243,NA,0.85313
609,NA,NA,NA,NA,NA,NA,NA,1.32911,NA,0.85089
610,NA,NA,NA,NA,NA,NA,NA,1.32517,NA,0.84812
611,NA,NA,NA,NA,NA,NA,NA,1.32162,NA,0.8458
612,NA,NA,NA,NA,NA,NA,NA,1.31792,NA,0.84367
613,NA,NA,NA,NA,NA,NA,NA,1.31424,NA,0.84158
614,NA,NA,NA,NA,NA,NA,NA,1.31102,NA,0.83963
615,NA,NA,NA,NA,NA,NA,NA,1.30825,NA,0.83783
616,NA,NA,NA,NA,NA,NA,NA,1.30571,NA,0.83615
617,NA,NA,NA,NA,NA,NA,NA,1.30346,NA,0.83461
618,NA,NA,NA,NA,NA,NA,NA,1.3016,NA,0.83326
619,NA,NA,NA,NA,NA,NA,NA,1.30005,NA,0.8321
620,NA,NA,NA,NA,NA,NA,NA,1.29842,NA,0.83084
621,NA,NA,NA,NA,NA,NA,NA,1.29626,NA,0.82918
622,NA,NA,NA,NA,NA,NA,NA,1.2933,NA,0.82689
623,NA,NA,NA,NA,NA,NA,NA,1.28979,NA,0.82418
624,NA,NA,NA,NA,NA,NA,NA,1.28593,NA,0.82124
625,NA,NA,NA,NA,NA,NA,NA,1.28108,NA,0.81757
626,NA,NA,NA,NA,NA,NA,NA,1.27567,NA,0.81344
627,NA,NA,NA,NA,NA,NA,NA,1.27095,NA,0.80985
628,NA,NA,NA,NA,NA,NA,NA,1.26731,NA,0.80703
629,NA,NA,NA,NA,NA,NA,NA,1.26391,NA,0.80435
630,NA,NA,NA,NA,NA,NA,NA,1.26161,NA,0.80259
631,NA,NA,NA,NA,NA,NA,NA,1.26101,NA,0.80237
632,NA,NA,NA,NA,NA,NA,NA,1.26075,NA,0.80272
633,NA,NA,NA,NA,NA,NA,NA,1.26066,NA,0.80326
634,NA,NA,NA,NA,NA,NA,NA,1.26084,NA,0.80387
635,NA,NA,NA,NA,NA,NA,NA,1.26195,NA,0.80513
636,NA,NA,NA,NA,NA,NA,NA,1.26348,NA,0.80671
637,NA,NA,NA,NA,NA,NA,NA,1.26444,NA,0.80766
638,NA,NA,NA,NA,NA,NA,NA,1.26436,NA,0.80772
639,NA,NA,NA,NA,NA,NA,NA,1.26391,NA,0.80764
640,NA,NA,NA,NA,NA,NA,NA,1.26316,NA,0.8075
641,NA,NA,NA,NA,NA,NA,NA,1.26157,NA,0.80689
642,NA,NA,NA,NA,NA,NA,NA,1.25703,NA,0.80417
643,NA,NA,NA,NA,NA,NA,NA,1.25094,NA,0.80024
644,NA,NA,NA,NA,NA,NA,NA,1.24505,NA,0.79636
645,NA,NA,NA,NA,NA,NA,NA,1.23897,NA,0.79216
646,NA,NA,NA,NA,NA,NA,NA,1.23252,NA,0.78759
647,NA,NA,NA,NA,NA,NA,NA,1.2261,NA,0.78306
648,NA,NA,NA,NA,NA,NA,NA,1.21979,NA,0.77874
649,NA,NA,NA,NA,NA,NA,NA,1.21341,NA,0.77443
650,NA,NA,NA,NA,NA,NA,NA,1.20719,NA,0.77034
651,NA,NA,NA,NA,NA,NA,NA,1.20081,NA,0.76636
652,NA,NA,NA,NA,NA,NA,NA,1.19351,NA,0.76211
653,NA,NA,NA,NA,NA,NA,NA,1.18761,NA,0.75889
654,NA,NA,NA,NA,NA,NA,NA,1.18546,NA,0.758
655,NA,NA,NA,NA,NA,NA,NA,1.18472,NA,0.75785
656,NA,NA,NA,NA,NA,NA,NA,1.18422,NA,0.75774
657,NA,NA,NA,NA,NA,NA,NA,1.18408,NA,0.75784
658,NA,NA,NA,NA,NA,NA,NA,1.18732,NA,0.7603
659,NA,NA,NA,NA,NA,NA,NA,1.19479,NA,0.7657
660,NA,NA,NA,NA,NA,NA,NA,1.20289,NA,0.77149
661,NA,NA,NA,NA,NA,NA,NA,1.20958,NA,0.77616
662,NA,NA,NA,NA,NA,NA,NA,1.21688,NA,0.78109
663,NA,NA,NA,NA,NA,NA,NA,1.22291,NA,0.7851
664,NA,NA,NA,NA,NA,NA,NA,1.22562,NA,0.7869
665,NA,NA,NA,NA,NA,NA,NA,1.22711,NA,0.78785
666,NA,NA,NA,NA,NA,NA,NA,1.22809,NA,0.78848
667,NA,NA,NA,NA,NA,NA,NA,1.2284,NA,0.7887
668,NA,NA,NA,NA,NA,NA,NA,1.22734,NA,0.78825
669,NA,NA,NA,NA,NA,NA,NA,1.2251,NA,0.78727
670,NA,NA,NA,NA,NA,NA,NA,1.22281,NA,0.78615
671,NA,NA,NA,NA,NA,NA,NA,1.22108,NA,0.78511
672,NA,NA,NA,NA,NA,NA,NA,1.21929,NA,0.78389
673,NA,NA,NA,NA,NA,NA,NA,1.21739,NA,0.78259
674,NA,NA,NA,NA,NA,NA,NA,1.2155,NA,0.78136
675,NA,NA,NA,NA,NA,NA,NA,1.21347,NA,0.78025
676,NA,NA,NA,NA,NA,NA,NA,1.2111,NA,0.779
677,NA,NA,NA,NA,NA,NA,NA,1.2081,NA,0.77723
678,NA,NA,NA,NA,NA,NA,NA,1.20381,NA,0.77431
679,NA,NA,NA,NA,NA,NA,NA,1.1979,NA,0.77011
680,NA,NA,NA,NA,NA,NA,NA,1.1904,NA,0.76484
681,NA,NA,NA,NA,NA,NA,NA,1.17983,NA,0.75741
682,NA,NA,NA,NA,NA,NA,NA,1.16466,NA,0.74654
683,NA,NA,NA,NA,NA,NA,NA,1.14786,NA,0.73438
684,NA,NA,NA,NA,NA,NA,NA,1.13146,NA,0.7226
685,NA,NA,NA,NA,NA,NA,NA,1.11309,NA,0.70947
686,NA,NA,NA,NA,NA,NA,NA,1.0957,NA,0.69703
687,NA,NA,NA,NA,NA,NA,NA,1.08312,NA,0.68794
688,NA,NA,NA,NA,NA,NA,NA,1.073,NA,0.68055
689,NA,NA,NA,NA,NA,NA,NA,1.06484,NA,0.67457
690,NA,NA,NA,NA,NA,NA,NA,1.06099,NA,0.67177
691,NA,NA,NA,NA,NA,NA,NA,1.0617,NA,0.67247
692,NA,NA,NA,NA,NA,NA,NA,1.06386,NA,0.6746
693,NA,NA,NA,NA,NA,NA,NA,1.06639,NA,0.67713
694,NA,NA,NA,NA,NA,NA,NA,1.06865,NA,0.67931
695,NA,NA,NA,NA,NA,NA,NA,1.07135,NA,0.68169
696,NA,NA,NA,NA,NA,NA,NA,1.07394,NA,0.68404
697,NA,NA,NA,NA,NA,NA,NA,1.07596,NA,0.686
698,NA,NA,NA,NA,NA,NA,NA,1.0777,NA,0.6875
699,NA,NA,NA,NA,NA,NA,NA,1.07938,NA,0.68886
700,NA,NA,NA,NA,NA,NA,NA,1.08085,NA,0.69036
701,NA,NA,NA,NA,NA,NA,NA,1.08212,NA,0.69219
702,NA,NA,NA,NA,NA,NA,NA,1.08343,NA,0.6942
703,NA,NA,NA,NA,NA,NA,NA,1.08497,NA,0.69636
704,NA,NA,NA,NA,NA,NA,NA,1.0873,NA,0.69894
705,NA,NA,NA,NA,NA,NA,NA,1.09084,NA,0.70241
706,NA,NA,NA,NA,NA,NA,NA,1.09386,NA,0.70522
707,NA,NA,NA,NA,NA,NA,NA,1.09453,NA,0.70585
708,NA,NA,NA,NA,NA,NA,NA,1.0929,NA,0.70493
709,NA,NA,NA,NA,NA,NA,NA,1.08961,NA,0.70309
710,NA,NA,NA,NA,NA,NA,NA,1.08499,NA,0.70055
711,NA,NA,NA,NA,NA,NA,NA,1.07438,NA,0.69366
712,NA,NA,NA,NA,NA,NA,NA,1.05647,NA,0.68129
713,NA,NA,NA,NA,NA,NA,NA,1.03589,NA,0.66694
714,NA,NA,NA,NA,NA,NA,NA,1.01438,NA,0.65198
715,NA,NA,NA,NA,NA,NA,NA,0.98859,NA,0.63403
716,NA,NA,NA,NA,NA,NA,NA,0.96295,NA,0.61618
717,NA,NA,NA,NA,NA,NA,NA,0.94153,NA,0.6013
718,NA,NA,NA,NA,NA,NA,NA,0.92117,NA,0.58718
719,NA,NA,NA,NA,NA,NA,NA,0.90356,NA,0.57508
720,NA,NA,NA,NA,NA,NA,NA,0.89217,NA,0.56741
721,NA,NA,NA,NA,NA,NA,NA,0.88471,NA,0.56247
722,NA,NA,NA,NA,NA,NA,NA,0.87906,NA,0.55865
723,NA,NA,NA,NA,NA,NA,NA,0.87636,NA,0.55678
724,NA,NA,NA,NA,NA,NA,NA,0.87664,NA,0.55705
725,NA,NA,NA,NA,NA,NA,NA,0.87804,NA,0.55833
726,NA,NA,NA,NA,NA,NA,NA,0.88015,NA,0.56038
727,NA,NA,NA,NA,NA,NA,NA,0.88351,NA,0.56348
728,NA,NA,NA,NA,NA,NA,NA,0.8917,NA,0.57019
729,NA,NA,NA,NA,NA,NA,NA,0.90295,NA,0.57924
730,NA,NA,NA,NA,NA,NA,NA,0.91469,NA,0.58868
731,NA,NA,NA,NA,NA,NA,NA,0.92868,NA,0.59953
732,NA,NA,NA,NA,NA,NA,NA,0.94452,NA,0.61165
733,NA,NA,NA,NA,NA,NA,NA,0.95954,NA,0.62342
734,NA,NA,NA,NA,NA,NA,NA,0.97298,NA,0.63432
735,NA,NA,NA,NA,NA,NA,NA,0.98606,NA,0.64505
736,NA,NA,NA,NA,NA,NA,NA,0.99776,NA,0.65481
737,NA,NA,NA,NA,NA,NA,NA,1.00724,NA,0.66308
738,NA,NA,NA,NA,NA,NA,NA,1.01538,NA,0.67047
739,NA,NA,NA,NA,NA,NA,NA,1.02243,NA,0.67708
740,NA,NA,NA,NA,NA,NA,NA,1.02852,NA,0.68291
741,NA,NA,NA,NA,NA,NA,NA,1.03428,NA,0.68836
742,NA,NA,NA,NA,NA,NA,NA,1.03942,NA,0.69326
743,NA,NA,NA,NA,NA,NA,NA,1.0433,NA,0.69717
744,NA,NA,NA,NA,NA,NA,NA,1.04628,NA,0.7005
745,NA,NA,NA,NA,NA,NA,NA,1.04883,NA,0.70345
746,NA,NA,NA,NA,NA,NA,NA,1.05028,NA,0.70513
747,NA,NA,NA,NA,NA,NA,NA,1.05033,NA,0.7052
748,NA,NA,NA,NA,NA,NA,NA,1.04968,NA,0.70485
749,NA,NA,NA,NA,NA,NA,NA,1.04829,NA,0.70421
750,NA,NA,NA,NA,NA,NA,NA,1.04557,NA,0.70298
751,NA,NA,NA,NA,NA,NA,NA,1.03767,NA,0.69789
752,NA,NA,NA,NA,NA,NA,NA,1.02474,NA,0.68905
753,NA,NA,NA,NA,NA,NA,NA,1.00841,NA,0.67771
754,NA,NA,NA,NA,NA,NA,NA,0.98122,NA,0.65807
755,NA,NA,NA,NA,NA,NA,NA,0.94177,NA,0.62908
756,NA,NA,NA,NA,NA,NA,NA,0.89836,NA,0.59714
757,NA,NA,NA,NA,NA,NA,NA,0.85208,NA,0.56313
758,NA,NA,NA,NA,NA,NA,NA,0.79761,NA,0.52292
759,NA,NA,NA,NA,NA,NA,NA,0.7506,NA,0.48805
760,NA,NA,NA,NA,NA,NA,NA,0.72427,NA,0.46817
761,NA,NA,NA,NA,NA,NA,NA,0.70461,NA,0.45317
762,NA,NA,NA,NA,NA,NA,NA,0.69073,NA,0.44258
763,NA,NA,NA,NA,NA,NA,NA,0.6867,NA,0.43949
764,NA,NA,NA,NA,NA,NA,NA,0.70523,NA,0.45317
765,NA,NA,NA,NA,NA,NA,NA,0.74135,NA,0.47995
766,NA,NA,NA,NA,NA,NA,NA,0.78023,NA,0.50889
767,NA,NA,NA,NA,NA,NA,NA,0.81687,NA,0.53638
768,NA,NA,NA,NA,NA,NA,NA,0.85783,NA,0.56723
769,NA,NA,NA,NA,NA,NA,NA,0.89489,NA,0.59537
770,NA,NA,NA,NA,NA,NA,NA,0.92182,NA,0.61624
771,NA,NA,NA,NA,NA,NA,NA,0.94491,NA,0.63438
772,NA,NA,NA,NA,NA,NA,NA,0.96318,NA,0.64889
773,NA,NA,NA,NA,NA,NA,NA,0.97416,NA,0.65787
774,NA,NA,NA,NA,NA,NA,NA,0.98196,NA,0.66421
775,NA,NA,NA,NA,NA,NA,NA,0.98787,NA,0.66888
776,NA,NA,NA,NA,NA,NA,NA,0.99056,NA,0.67099
777,NA,NA,NA,NA,NA,NA,NA,0.99057,NA,0.67138
778,NA,NA,NA,NA,NA,NA,NA,0.98996,NA,0.67172
779,NA,NA,NA,NA,NA,NA,NA,0.98926,NA,0.67184
780,NA,NA,NA,NA,NA,NA,NA,0.98818,NA,0.67117
781,NA,NA,NA,NA,NA,NA,NA,0.98519,NA,0.6688
782,NA,NA,NA,NA,NA,NA,NA,0.98114,NA,0.66556
783,NA,NA,NA,NA,NA,NA,NA,0.97706,NA,0.66229
784,NA,NA,NA,NA,NA,NA,NA,0.97234,NA,0.65831
785,NA,NA,NA,NA,NA,NA,NA,0.96687,NA,0.6537
786,NA,NA,NA,NA,NA,NA,NA,0.96093,NA,0.6489
787,NA,NA,NA,NA,NA,NA,NA,0.95412,NA,0.64366
788,NA,NA,NA,NA,NA,NA,NA,0.94671,NA,0.63814
789,NA,NA,NA,NA,NA,NA,NA,0.93988,NA,0.6332
790,NA,NA,NA,NA,NA,NA,NA,0.93442,NA,0.62933
791,NA,NA,NA,NA,NA,NA,NA,0.92973,NA,0.62605
792,NA,NA,NA,NA,NA,NA,NA,0.92564,NA,0.62315
793,NA,NA,NA,NA,NA,NA,NA,0.92197,NA,0.62055
794,NA,NA,NA,NA,NA,NA,NA,0.91869,NA,0.6183
795,NA,NA,NA,NA,NA,NA,NA,0.91573,NA,0.61628
796,NA,NA,NA,NA,NA,NA,NA,0.91319,NA,0.61435
797,NA,NA,NA,NA,NA,NA,NA,0.91111,NA,0.61241
798,NA,NA,NA,NA,NA,NA,NA,0.90925,NA,0.61056
799,NA,NA,NA,NA,NA,NA,NA,0.9075,NA,0.60898
800,NA,NA,NA,NA,NA,NA,NA,0.9056,NA,0.6077
