lambda,Sta_01,Sta_02,Sta_03,Sta_04,Sta_05,Sta_06,Sta_07,Sta_08,Sta_09,Sta_10
350,NA,NA,NA,0.54577,0.55827,0.56644,0.51403,0.54162,0.34392,0.3755
351,NA,NA,NA,0.55496,0.56725,0.57586,0.52259,0.55038,0.3489,0.38153
352,NA,NA,NA,0.56228,0.5743,0.58333,0.52939,0.55729,0.35271,0.38626
353,NA,NA,NA,0.56542,0.5771,0.58647,0.53226,0.56006,0.35389,0.38813
354,NA,NA,NA,0.56537,0.57676,0.5864,0.53235,0.55962,0.35321,0.38783
355,NA,NA,NA,0.56472,0.57582,0.58572,0.53187,0.5586,0.35215,0.38712
356,NA,NA,NA,0.56452,0.57535,0.58551,0.53183,0.55804,0.35139,0.38673
357,NA,NA,NA,0.56633,0.57687,0.58735,0.53353,0.55933,0.35175,0.38763
358,NA,NA,NA,0.57087,0.58116,0.59201,0.53774,0.56326,0.35377,0.39037
359,NA,NA,NA,0.57744,0.58751,0.59877,0.54387,0.5692,0.35704,0.3945
360,NA,NA,NA,0.58647,0.5964,0.6081,0.55233,0.57759,0.36186,0.40033
361,NA,NA,NA,0.60312,0.6131,0.62536,0.56798,0.59357,0.37148,0.41143
362,NA,NA,NA,0.62377,0.63385,0.64676,0.5874,0.61348,0.38355,0.42525
363,NA,NA,NA,0.64351,0.65367,0.66721,0.60595,0.63248,0.39505,0.43844
364,NA,NA,NA,0.66521,0.6755,0.68994,0.62651,0.65345,0.40784,0.45328
365,NA,NA,NA,0.68652,0.69692,0.71226,0.64669,0.67403,0.42039,0.46786
366,NA,NA,NA,0.70106,0.71148,0.72757,0.66051,0.68797,0.42878,0.47783
367,NA,NA,NA,0.70882,0.71921,0.73583,0.66796,0.69529,0.43299,0.48301
368,NA,NA,NA,0.715,0.72539,0.74246,0.67395,0.70109,0.43621,0.48701
369,NA,NA,NA,0.71859,0.72892,0.74638,0.67749,0.70434,0.43783,0.48924
370,NA,NA,NA,0.71801,0.72822,0.74596,0.6771,0.70344,0.43687,0.48863
371,NA,NA,NA,0.71303,0.72305,0.74091,0.67255,0.69807,0.43309,0.48499
372,NA,NA,NA,0.70809,0.71792,0.7359,0.66803,0.69274,0.42935,0.48137
373,NA,NA,NA,0.70767,0.71737,0.73558,0.66778,0.69184,0.42835,0.48084
374,NA,NA,NA,0.71189,0.72147,0.74007,0.67176,0.69556,0.43009,0.48345
375,NA,NA,NA,0.71712,0.72659,0.74561,0.67669,0.70026,0.43242,0.48674
376,NA,NA,NA,0.71991,0.72924,0.74862,0.67933,0.7026,0.4333,0.48839
377,NA,NA,NA,0.71956,0.72875,0.74839,0.67911,0.70203,0.43235,0.48784
378,NA,NA,NA,0.71753,0.72657,0.74644,0.67736,0.69993,0.43042,0.4861
379,NA,NA,NA,0.71442,0.72331,0.74336,0.67459,0.69678,0.42785,0.48364
380,NA,NA,NA,0.7069,0.71554,0.73567,0.66763,0.68923,0.42265,0.47818
381,NA,NA,NA,0.69208,0.70028,0.72034,0.6537,0.67434,0.41311,0.46776
382,NA,NA,NA,0.67963,0.68742,0.70747,0.64201,0.66176,0.40499,0.45894
383,NA,NA,NA,0.67733,0.68484,0.70517,0.6399,0.65907,0.40293,0.45699
384,NA,NA,NA,0.67741,0.68457,0.70512,0.63978,0.65858,0.40215,0.4568
385,NA,NA,NA,0.67785,0.68467,0.70543,0.63997,0.65843,0.40159,0.45688
386,NA,NA,NA,0.6789,0.68538,0.70638,0.64074,0.65887,0.40139,0.45737
387,NA,NA,NA,0.68872,0.69509,0.71656,0.65,0.66804,0.4065,0.46386
388,NA,NA,NA,0.70451,0.71091,0.73302,0.66503,0.68313,0.4152,0.47444
389,NA,NA,NA,0.71719,0.72359,0.74624,0.67713,0.6952,0.42206,0.48292
390,NA,NA,NA,0.72268,0.729,0.75199,0.68246,0.70028,0.42469,0.48652
391,NA,NA,NA,0.72648,0.73256,0.756,0.68624,0.70363,0.4263,0.48883
392,NA,NA,NA,0.73128,0.73713,0.76104,0.69096,0.70794,0.42851,0.49181
393,NA,NA,NA,0.7409,0.74658,0.77111,0.70024,0.71694,0.43356,0.49805
394,NA,NA,NA,0.76026,0.76568,0.79113,0.71846,0.73509,0.44403,0.51054
395,NA,NA,NA,0.78675,0.79196,0.81854,0.74339,0.76011,0.45864,0.52779
396,NA,NA,NA,0.81888,0.82391,0.85182,0.77365,0.79058,0.47653,0.54882
