wl [nm]	refractive_index 	+/- error 
at T=15.0 degC, S= 0.0 PSU, depol.ratio=0.039, Theta=90.0 deg
350.0	   1.3500833046	   0.0000300000
352.0	   1.3497789415	   0.0000300000
354.0	   1.3494808084	   0.0000300000
356.0	   1.3491887255	   0.0000300000
358.0	   1.3489025194	   0.0000300000
360.0	   1.3486220227	   0.0000300000
362.0	   1.3483470739	   0.0000300000
364.0	   1.3480775168	   0.0000300000
366.0	   1.3478132007	   0.0000300000
368.0	   1.3475539802	   0.0000300000
370.0	   1.3472997145	   0.0000300000
372.0	   1.3470502679	   0.0000300000
374.0	   1.3468055088	   0.0000300000
376.0	   1.3465653105	   0.0000300000
378.0	   1.3463295500	   0.0000300000
380.0	   1.3460981088	   0.0000300000
382.0	   1.3458708719	   0.0000300000
384.0	   1.3456477283	   0.0000300000
386.0	   1.3454285705	   0.0000300000
388.0	   1.3452132945	   0.0000300000
390.0	   1.3450017996	   0.0000300000
392.0	   1.3447939884	   0.0000300000
394.0	   1.3445897664	   0.0000300000
396.0	   1.3443890423	   0.0000300000
398.0	   1.3441917275	   0.0000300000
400.0	   1.3439977363	   0.0000300000
402.0	   1.3438069856	   0.0000300000
404.0	   1.3436193949	   0.0000300000
406.0	   1.3434348861	   0.0000300000
408.0	   1.3432533836	   0.0000300000
410.0	   1.3430748140	   0.0000300000
412.0	   1.3428991061	   0.0000300000
414.0	   1.3427261910	   0.0000300000
416.0	   1.3425560017	   0.0000300000
418.0	   1.3423884733	   0.0000300000
420.0	   1.3422235429	   0.0000300000
422.0	   1.3420611492	   0.0000300000
424.0	   1.3419012329	   0.0000300000
426.0	   1.3417437364	   0.0000300000
428.0	   1.3415886038	   0.0000300000
430.0	   1.3414357807	   0.0000300000
432.0	   1.3412852144	   0.0000300000
434.0	   1.3411368536	   0.0000300000
436.0	   1.3409906485	   0.0000300000
438.0	   1.3408465508	   0.0000300000
440.0	   1.3407045135	   0.0000300000
442.0	   1.3405644908	   0.0000300000
444.0	   1.3404264383	   0.0000300000
446.0	   1.3402903130	   0.0000300000
448.0	   1.3401560727	   0.0000300000
450.0	   1.3400236767	   0.0000300000
452.0	   1.3398930852	   0.0000300000
454.0	   1.3397642596	   0.0000300000
456.0	   1.3396371624	   0.0000300000
458.0	   1.3395117570	   0.0000300000
460.0	   1.3393880077	   0.0000300000
462.0	   1.3392658800	   0.0000300000
464.0	   1.3391453402	   0.0000300000
466.0	   1.3390263553	   0.0000300000
468.0	   1.3389088936	   0.0000300000
470.0	   1.3387929238	   0.0000300000
472.0	   1.3386784157	   0.0000300000
474.0	   1.3385653398	   0.0000300000
476.0	   1.3384536673	   0.0000300000
478.0	   1.3383433701	   0.0000300000
480.0	   1.3382344211	   0.0000300000
482.0	   1.3381267935	   0.0000300000
484.0	   1.3380204616	   0.0000300000
486.0	   1.3379153999	   0.0000300000
488.0	   1.3378115840	   0.0000300000
490.0	   1.3377089897	   0.0000300000
492.0	   1.3376075936	   0.0000300000
494.0	   1.3375073730	   0.0000300000
496.0	   1.3374083055	   0.0000300000
498.0	   1.3373103694	   0.0000300000
500.0	   1.3372135435	   0.0000300000
502.0	   1.3371178072	   0.0000300000
504.0	   1.3370231402	   0.0000300000
506.0	   1.3369295229	   0.0000300000
508.0	   1.3368369360	   0.0000300000
510.0	   1.3367453608	   0.0000300000
512.0	   1.3366547790	   0.0000300000
514.0	   1.3365651726	   0.0000300000
516.0	   1.3364765243	   0.0000300000
518.0	   1.3363888170	   0.0000300000
520.0	   1.3363020340	   0.0000300000
522.0	   1.3362161590	   0.0000300000
524.0	   1.3361311762	   0.0000300000
526.0	   1.3360470701	   0.0000300000
528.0	   1.3359638254	   0.0000300000
530.0	   1.3358814274	   0.0000300000
532.0	   1.3357998615	   0.0000300000
534.0	   1.3357191137	   0.0000300000
536.0	   1.3356391701	   0.0000300000
538.0	   1.3355600171	   0.0000300000
540.0	   1.3354816415	   0.0000300000
542.0	   1.3354040304	   0.0000300000
544.0	   1.3353271712	   0.0000300000
546.0	   1.3352510514	   0.0000300000
548.0	   1.3351756590	   0.0000300000
550.0	   1.3351009821	   0.0000300000
552.0	   1.3350270093	   0.0000300000
554.0	   1.3349537290	   0.0000300000
556.0	   1.3348811303	   0.0000300000
558.0	   1.3348092024	   0.0000300000
560.0	   1.3347379345	   0.0000300000
562.0	   1.3346673164	   0.0000300000
564.0	   1.3345973378	   0.0000300000
566.0	   1.3345279888	   0.0000300000
568.0	   1.3344592596	   0.0000300000
570.0	   1.3343911407	   0.0000300000
572.0	   1.3343236228	   0.0000300000
574.0	   1.3342566968	   0.0000300000
576.0	   1.3341903535	   0.0000300000
