wavelength direct_irrad
3.500e+02 6.074e+02
3.600e+02 6.395e+02
3.700e+02 8.046e+02
3.800e+02 7.556e+02
3.900e+02 8.105e+02
4.000e+02 1.167e+03
4.100e+02 1.124e+03
4.200e+02 1.187e+03
4.300e+02 9.534e+02
4.400e+02 1.293e+03
4.500e+02 1.498e+03
4.600e+02 1.484e+03
4.700e+02 1.447e+03
4.800e+02 1.534e+03
4.900e+02 1.495e+03
5.000e+02 1.432e+03
5.100e+02 1.411e+03
5.200e+02 1.352e+03
5.300e+02 1.408e+03
5.400e+02 1.348e+03
5.500e+02 1.405e+03
5.600e+02 1.320e+03
5.700e+02 1.329e+03
5.800e+02 1.346e+03
5.900e+02 1.275e+03
6.000e+02 1.309e+03
6.100e+02 1.276e+03
6.200e+02 1.280e+03
6.300e+02 1.266e+03
6.400e+02 1.243e+03
6.500e+02 1.230e+03
6.600e+02 1.214e+03
6.700e+02 1.203e+03
6.800e+02 1.179e+03
6.900e+02 1.173e+03
7.000e+02 1.161e+03
7.100e+02 1.126e+03
7.200e+02 9.782e+02
7.300e+02 9.680e+02
7.400e+02 1.017e+03
7.500e+02 1.036e+03
7.600e+02 7.355e+02
7.700e+02 9.328e+02
7.800e+02 9.557e+02
7.900e+02 9.465e+02
8.000e+02 9.108e+02
8.100e+02 8.553e+02
8.200e+02 7.599e+02
8.300e+02 8.008e+02
8.400e+02 8.322e+02
8.500e+02 7.638e+02
8.600e+02 8.169e+02
8.700e+02 8.129e+02
8.800e+02 7.993e+02
8.900e+02 7.660e+02
9.000e+02 6.274e+02
9.100e+02 6.313e+02
9.200e+02 6.374e+02
9.300e+02 3.484e+02
9.400e+02 2.936e+02
9.500e+02 2.792e+02
9.600e+02 3.317e+02
9.700e+02 5.307e+02
9.800e+02 5.554e+02
9.900e+02 6.047e+02
1.000e+03 6.167e+02
