wavelength direct_irrad
3.500e+02 3.841e+01
3.600e+02 4.424e+01
3.700e+02 6.007e+01
3.800e+02 6.025e+01
3.900e+02 6.850e+01
4.000e+02 1.039e+02
4.100e+02 1.047e+02
4.200e+02 1.152e+02
4.300e+02 9.591e+01
4.400e+02 1.343e+02
4.500e+02 1.603e+02
4.600e+02 1.622e+02
4.700e+02 1.620e+02
4.800e+02 1.740e+02
4.900e+02 1.731e+02
5.000e+02 1.672e+02
5.100e+02 1.656e+02
5.200e+02 1.602e+02
5.300e+02 1.650e+02
5.400e+02 1.591e+02
5.500e+02 1.659e+02
5.600e+02 1.549e+02
5.700e+02 1.542e+02
5.800e+02 1.581e+02
5.900e+02 1.525e+02
6.000e+02 1.547e+02
6.100e+02 1.541e+02
6.200e+02 1.600e+02
6.300e+02 1.624e+02
6.400e+02 1.641e+02
6.500e+02 1.664e+02
6.600e+02 1.678e+02
6.700e+02 1.698e+02
6.800e+02 1.696e+02
6.900e+02 1.674e+02
7.000e+02 1.717e+02
7.100e+02 1.659e+02
7.200e+02 1.069e+02
7.300e+02 1.097e+02
7.400e+02 1.476e+02
7.500e+02 1.606e+02
7.600e+02 4.394e+01
7.700e+02 1.182e+02
7.800e+02 1.513e+02
7.900e+02 1.476e+02
8.000e+02 1.405e+02
8.100e+02 1.161e+02
8.200e+02 8.141e+01
8.300e+02 1.010e+02
8.400e+02 1.221e+02
8.500e+02 1.250e+02
8.600e+02 1.350e+02
8.700e+02 1.351e+02
8.800e+02 1.328e+02
8.900e+02 1.204e+02
9.000e+02 6.437e+01
9.100e+02 6.970e+01
9.200e+02 7.458e+01
9.300e+02 7.859e+00
9.400e+02 4.373e+00
9.500e+02 3.759e+00
9.600e+02 7.872e+00
9.700e+02 4.948e+01
9.800e+02 6.381e+01
9.900e+02 9.478e+01
1.000e+03 1.065e+02
