wavelength diffuse_irrad
3.500e+02 1.423e+02
3.600e+02 1.404e+02
3.700e+02 1.662e+02
3.800e+02 1.474e+02
3.900e+02 1.496e+02
4.000e+02 2.045e+02
4.100e+02 1.878e+02
4.200e+02 1.896e+02
4.300e+02 1.457e+02
4.400e+02 1.894e+02
4.500e+02 2.105e+02
4.600e+02 2.006e+02
4.700e+02 1.884e+02
4.800e+02 1.924e+02
4.900e+02 1.809e+02
5.000e+02 1.670e+02
5.100e+02 1.589e+02
5.200e+02 1.473e+02
5.300e+02 1.479e+02
5.400e+02 1.370e+02
5.500e+02 1.379e+02
5.600e+02 1.256e+02
5.700e+02 1.224e+02
5.800e+02 1.206e+02
5.900e+02 1.111e+02
6.000e+02 1.104e+02
6.100e+02 1.050e+02
6.200e+02 1.032e+02
6.300e+02 9.979e+01
6.400e+02 9.586e+01
6.500e+02 9.266e+01
6.600e+02 8.957e+01
6.700e+02 8.693e+01
6.800e+02 8.341e+01
6.900e+02 8.074e+01
7.000e+02 7.852e+01
7.100e+02 7.426e+01
7.200e+02 5.852e+01
7.300e+02 5.700e+01
7.400e+02 6.207e+01
7.500e+02 6.270e+01
7.600e+02 3.444e+01
7.700e+02 5.124e+01
7.800e+02 5.410e+01
7.900e+02 5.209e+01
8.000e+02 4.876e+01
8.100e+02 4.351e+01
8.200e+02 3.576e+01
8.300e+02 3.842e+01
8.400e+02 4.059e+01
8.500e+02 3.747e+01
8.600e+02 3.934e+01
8.700e+02 3.838e+01
8.800e+02 3.693e+01
8.900e+02 3.417e+01
9.000e+02 2.467e+01
9.100e+02 2.481e+01
9.200e+02 2.495e+01
9.300e+02 8.954e+00
9.400e+02 6.692e+00
9.500e+02 6.092e+00
9.600e+02 8.153e+00
9.700e+02 1.787e+01
9.800e+02 1.929e+01
9.900e+02 2.221e+01
1.000e+03 2.273e+01
