wavelength direct_irrad
3.500e+02 7.247e+02
3.600e+02 7.602e+02
3.700e+02 9.534e+02
3.800e+02 8.930e+02
3.900e+02 9.555e+02
4.000e+02 1.373e+03
4.100e+02 1.320e+03
4.200e+02 1.392e+03
4.300e+02 1.116e+03
4.400e+02 1.512e+03
4.500e+02 1.749e+03
4.600e+02 1.731e+03
4.700e+02 1.685e+03
4.800e+02 1.786e+03
4.900e+02 1.739e+03
5.000e+02 1.666e+03
5.100e+02 1.640e+03
5.200e+02 1.571e+03
5.300e+02 1.637e+03
5.400e+02 1.566e+03
5.500e+02 1.632e+03
5.600e+02 1.534e+03
5.700e+02 1.545e+03
5.800e+02 1.563e+03
5.900e+02 1.480e+03
6.000e+02 1.520e+03
6.100e+02 1.480e+03
6.200e+02 1.483e+03
6.300e+02 1.465e+03
6.400e+02 1.438e+03
6.500e+02 1.421e+03
6.600e+02 1.401e+03
6.700e+02 1.387e+03
6.800e+02 1.359e+03
6.900e+02 1.353e+03
7.000e+02 1.337e+03
7.100e+02 1.297e+03
7.200e+02 1.141e+03
7.300e+02 1.127e+03
7.400e+02 1.172e+03
7.500e+02 1.191e+03
7.600e+02 8.797e+02
7.700e+02 1.081e+03
7.800e+02 1.097e+03
7.900e+02 1.088e+03
8.000e+02 1.047e+03
8.100e+02 9.886e+02
8.200e+02 8.869e+02
8.300e+02 9.284e+02
8.400e+02 9.588e+02
8.500e+02 8.759e+02
8.600e+02 9.364e+02
8.700e+02 9.316e+02
8.800e+02 9.161e+02
8.900e+02 8.800e+02
9.000e+02 7.337e+02
9.100e+02 7.360e+02
9.200e+02 7.414e+02
9.300e+02 4.340e+02
9.400e+02 3.721e+02
9.500e+02 3.554e+02
9.600e+02 4.123e+02
9.700e+02 6.231e+02
9.800e+02 6.464e+02
9.900e+02 6.948e+02
1.000e+03 7.056e+02
