wavelength diffuse_irrad
3.500e+02 5.662e+01
3.600e+02 5.679e+01
3.700e+02 6.805e+01
3.800e+02 6.092e+01
3.900e+02 6.240e+01
4.000e+02 8.591e+01
4.100e+02 7.936e+01
4.200e+02 8.055e+01
4.300e+02 6.218e+01
4.400e+02 8.109e+01
4.500e+02 9.041e+01
4.600e+02 8.613e+01
4.700e+02 8.110e+01
4.800e+02 8.250e+01
4.900e+02 7.773e+01
5.000e+02 7.141e+01
5.100e+02 6.757e+01
5.200e+02 6.246e+01
5.300e+02 6.180e+01
5.400e+02 5.707e+01
5.500e+02 5.709e+01
5.600e+02 5.147e+01
5.700e+02 4.953e+01
5.800e+02 4.888e+01
5.900e+02 4.532e+01
6.000e+02 4.448e+01
6.100e+02 4.270e+01
6.200e+02 4.263e+01
6.300e+02 4.171e+01
6.400e+02 4.059e+01
6.500e+02 3.967e+01
6.600e+02 3.871e+01
6.700e+02 3.792e+01
6.800e+02 3.668e+01
6.900e+02 3.510e+01
7.000e+02 3.487e+01
7.100e+02 3.273e+01
7.200e+02 2.051e+01
7.300e+02 2.044e+01
7.400e+02 2.674e+01
7.500e+02 2.831e+01
7.600e+02 7.532e+00
7.700e+02 1.972e+01
7.800e+02 2.457e+01
7.900e+02 2.331e+01
8.000e+02 2.157e+01
8.100e+02 1.744e+01
8.200e+02 1.196e+01
8.300e+02 1.449e+01
8.400e+02 1.713e+01
8.500e+02 1.714e+01
8.600e+02 1.808e+01
8.700e+02 1.768e+01
8.800e+02 1.697e+01
8.900e+02 1.503e+01
9.000e+02 7.845e+00
9.100e+02 8.325e+00
9.200e+02 8.730e+00
9.300e+02 9.016e-01
9.400e+02 4.916e-01
9.500e+02 4.140e-01
9.600e+02 8.489e-01
9.700e+02 5.225e+00
9.800e+02 6.597e+00
9.900e+02 9.593e+00
1.000e+03 1.054e+01
