wavelength diffuse_irrad
3.500e+02 1.063e+02
3.600e+02 1.056e+02
3.700e+02 1.255e+02
3.800e+02 1.117e+02
3.900e+02 1.138e+02
4.000e+02 1.559e+02
4.100e+02 1.435e+02
4.200e+02 1.452e+02
4.300e+02 1.118e+02
4.400e+02 1.455e+02
4.500e+02 1.620e+02
4.600e+02 1.544e+02
4.700e+02 1.452e+02
4.800e+02 1.481e+02
4.900e+02 1.394e+02
5.000e+02 1.285e+02
5.100e+02 1.221e+02
5.200e+02 1.131e+02
5.300e+02 1.131e+02
5.400e+02 1.046e+02
5.500e+02 1.052e+02
5.600e+02 9.550e+01
5.700e+02 9.272e+01
5.800e+02 9.139e+01
5.900e+02 8.443e+01
6.000e+02 8.355e+01
6.100e+02 7.976e+01
6.200e+02 7.876e+01
6.300e+02 7.647e+01
6.400e+02 7.377e+01
6.500e+02 7.157e+01
6.600e+02 6.941e+01
6.700e+02 6.757e+01
6.800e+02 6.501e+01
6.900e+02 6.270e+01
7.000e+02 6.141e+01
7.100e+02 5.795e+01
7.200e+02 4.247e+01
7.300e+02 4.167e+01
7.400e+02 4.810e+01
7.500e+02 4.933e+01
7.600e+02 2.153e+01
7.700e+02 3.833e+01
7.800e+02 4.266e+01
7.900e+02 4.088e+01
8.000e+02 3.814e+01
8.100e+02 3.298e+01
8.200e+02 2.560e+01
8.300e+02 2.858e+01
8.400e+02 3.129e+01
8.500e+02 2.964e+01
8.600e+02 3.116e+01
8.700e+02 3.043e+01
8.800e+02 2.926e+01
8.900e+02 2.670e+01
9.000e+02 1.739e+01
9.100e+02 1.780e+01
9.200e+02 1.813e+01
9.300e+02 4.385e+00
9.400e+02 2.966e+00
9.500e+02 2.634e+00
9.600e+02 4.037e+00
9.700e+02 1.227e+01
9.800e+02 1.393e+01
9.900e+02 1.727e+01
1.000e+03 1.808e+01
