wavelength direct_irrad
3.500e+02 2.646e+02
3.600e+02 2.847e+02
3.700e+02 3.650e+02
3.800e+02 3.483e+02
3.900e+02 3.790e+02
4.000e+02 5.525e+02
4.100e+02 5.381e+02
4.200e+02 5.742e+02
4.300e+02 4.652e+02
4.400e+02 6.361e+02
4.500e+02 7.422e+02
4.600e+02 7.393e+02
4.700e+02 7.249e+02
4.800e+02 7.715e+02
4.900e+02 7.557e+02
5.000e+02 7.259e+02
5.100e+02 7.162e+02
5.200e+02 6.883e+02
5.300e+02 7.157e+02
5.400e+02 6.866e+02
5.500e+02 7.160e+02
5.600e+02 6.723e+02
5.700e+02 6.757e+02
5.800e+02 6.863e+02
5.900e+02 6.528e+02
6.000e+02 6.688e+02
6.100e+02 6.550e+02
6.200e+02 6.620e+02
6.300e+02 6.586e+02
6.400e+02 6.509e+02
6.500e+02 6.473e+02
6.600e+02 6.418e+02
6.700e+02 6.389e+02
6.800e+02 6.287e+02
6.900e+02 6.243e+02
7.000e+02 6.231e+02
7.100e+02 6.037e+02
7.200e+02 4.875e+02
7.300e+02 4.865e+02
7.400e+02 5.429e+02
7.500e+02 5.621e+02
7.600e+02 3.161e+02
7.700e+02 4.817e+02
7.800e+02 5.210e+02
7.900e+02 5.141e+02
8.000e+02 4.933e+02
8.100e+02 4.490e+02
8.200e+02 3.766e+02
8.300e+02 4.129e+02
8.400e+02 4.453e+02
8.500e+02 4.197e+02
8.600e+02 4.499e+02
8.700e+02 4.483e+02
8.800e+02 4.408e+02
8.900e+02 4.168e+02
9.000e+02 3.076e+02
9.100e+02 3.151e+02
9.200e+02 3.227e+02
9.300e+02 1.180e+02
9.400e+02 8.985e+01
9.500e+02 8.336e+01
9.600e+02 1.137e+02
9.700e+02 2.541e+02
9.800e+02 2.799e+02
9.900e+02 3.288e+02
1.000e+03 3.433e+02
