wavelength diffuse_irrad
3.500e+02 2.151e+02
3.600e+02 2.102e+02
3.700e+02 2.467e+02
3.800e+02 2.171e+02
3.900e+02 2.191e+02
4.000e+02 2.975e+02
4.100e+02 2.719e+02
4.200e+02 2.732e+02
4.300e+02 2.091e+02
4.400e+02 2.708e+02
4.500e+02 2.999e+02
4.600e+02 2.852e+02
4.700e+02 2.672e+02
4.800e+02 2.727e+02
4.900e+02 2.558e+02
5.000e+02 2.362e+02
5.100e+02 2.248e+02
5.200e+02 2.083e+02
5.300e+02 2.100e+02
5.400e+02 1.944e+02
5.500e+02 1.961e+02
5.600e+02 1.790e+02
5.700e+02 1.751e+02
5.800e+02 1.720e+02
5.900e+02 1.580e+02
6.000e+02 1.574e+02
6.100e+02 1.491e+02
6.200e+02 1.455e+02
6.300e+02 1.399e+02
6.400e+02 1.336e+02
6.500e+02 1.285e+02
6.600e+02 1.236e+02
6.700e+02 1.195e+02
6.800e+02 1.142e+02
6.900e+02 1.109e+02
7.000e+02 1.069e+02
7.100e+02 1.013e+02
7.200e+02 8.698e+01
7.300e+02 8.393e+01
7.400e+02 8.521e+01
7.500e+02 8.451e+01
7.600e+02 6.101e+01
7.700e+02 7.325e+01
7.800e+02 7.261e+01
7.900e+02 7.026e+01
8.000e+02 6.601e+01
8.100e+02 6.112e+01
8.200e+02 5.376e+01
8.300e+02 5.516e+01
8.400e+02 5.583e+01
8.500e+02 4.997e+01
8.600e+02 5.234e+01
8.700e+02 5.099e+01
8.800e+02 4.909e+01
8.900e+02 4.616e+01
9.000e+02 3.766e+01
9.100e+02 3.710e+01
9.200e+02 3.670e+01
9.300e+02 2.109e+01
9.400e+02 1.775e+01
9.500e+02 1.664e+01
9.600e+02 1.894e+01
9.700e+02 2.808e+01
9.800e+02 2.857e+01
9.900e+02 3.010e+01
1.000e+03 2.996e+01
