wavelength direct_irrad
3.500e+02 7.397e+02
3.600e+02 7.756e+02
3.700e+02 9.725e+02
3.800e+02 9.106e+02
3.900e+02 9.740e+02
4.000e+02 1.399e+03
4.100e+02 1.345e+03
4.200e+02 1.418e+03
4.300e+02 1.137e+03
4.400e+02 1.540e+03
4.500e+02 1.781e+03
4.600e+02 1.762e+03
4.700e+02 1.716e+03
4.800e+02 1.818e+03
4.900e+02 1.770e+03
5.000e+02 1.695e+03
5.100e+02 1.669e+03
5.200e+02 1.599e+03
5.300e+02 1.666e+03
5.400e+02 1.594e+03
5.500e+02 1.661e+03
5.600e+02 1.561e+03
5.700e+02 1.572e+03
5.800e+02 1.591e+03
5.900e+02 1.506e+03
6.000e+02 1.546e+03
6.100e+02 1.506e+03
6.200e+02 1.509e+03
6.300e+02 1.491e+03
6.400e+02 1.463e+03
6.500e+02 1.445e+03
6.600e+02 1.425e+03
6.700e+02 1.411e+03
6.800e+02 1.382e+03
6.900e+02 1.376e+03
7.000e+02 1.360e+03
7.100e+02 1.319e+03
7.200e+02 1.161e+03
7.300e+02 1.148e+03
7.400e+02 1.192e+03
7.500e+02 1.211e+03
7.600e+02 8.981e+02
7.700e+02 1.100e+03
7.800e+02 1.116e+03
7.900e+02 1.106e+03
8.000e+02 1.064e+03
8.100e+02 1.006e+03
8.200e+02 9.032e+02
8.300e+02 9.447e+02
8.400e+02 9.749e+02
8.500e+02 8.902e+02
8.600e+02 9.517e+02
8.700e+02 9.468e+02
8.800e+02 9.310e+02
8.900e+02 8.945e+02
9.000e+02 7.473e+02
9.100e+02 7.493e+02
9.200e+02 7.546e+02
9.300e+02 4.450e+02
9.400e+02 3.823e+02
9.500e+02 3.653e+02
9.600e+02 4.227e+02
9.700e+02 6.349e+02
9.800e+02 6.580e+02
9.900e+02 7.063e+02
1.000e+03 7.170e+02
