wavelength direct_irrad
3.500e+02 6.800e+02
3.600e+02 7.142e+02
3.700e+02 8.967e+02
3.800e+02 8.407e+02
3.900e+02 9.003e+02
4.000e+02 1.294e+03
4.100e+02 1.245e+03
4.200e+02 1.314e+03
4.300e+02 1.054e+03
4.400e+02 1.429e+03
4.500e+02 1.654e+03
4.600e+02 1.637e+03
4.700e+02 1.595e+03
4.800e+02 1.690e+03
4.900e+02 1.646e+03
5.000e+02 1.577e+03
5.100e+02 1.553e+03
5.200e+02 1.488e+03
5.300e+02 1.550e+03
5.400e+02 1.483e+03
5.500e+02 1.546e+03
5.600e+02 1.453e+03
5.700e+02 1.463e+03
5.800e+02 1.481e+03
5.900e+02 1.402e+03
6.000e+02 1.439e+03
6.100e+02 1.402e+03
6.200e+02 1.406e+03
6.300e+02 1.389e+03
6.400e+02 1.364e+03
6.500e+02 1.348e+03
6.600e+02 1.330e+03
6.700e+02 1.317e+03
6.800e+02 1.290e+03
6.900e+02 1.284e+03
7.000e+02 1.270e+03
7.100e+02 1.232e+03
7.200e+02 1.079e+03
7.300e+02 1.067e+03
7.400e+02 1.113e+03
7.500e+02 1.132e+03
7.600e+02 8.247e+02
7.700e+02 1.025e+03
7.800e+02 1.044e+03
7.900e+02 1.034e+03
8.000e+02 9.953e+02
8.100e+02 9.379e+02
8.200e+02 8.386e+02
8.300e+02 8.799e+02
8.400e+02 9.107e+02
8.500e+02 8.333e+02
8.600e+02 8.910e+02
8.700e+02 8.865e+02
8.800e+02 8.717e+02
8.900e+02 8.367e+02
9.000e+02 6.933e+02
9.100e+02 6.962e+02
9.200e+02 7.018e+02
9.300e+02 4.011e+02
9.400e+02 3.418e+02
9.500e+02 3.260e+02
9.600e+02 3.813e+02
9.700e+02 5.879e+02
9.800e+02 6.118e+02
9.900e+02 6.606e+02
1.000e+03 6.718e+02
