wavelength diffuse_irrad
3.500e+02 1.873e+02
3.600e+02 1.838e+02
3.700e+02 2.164e+02
3.800e+02 1.910e+02
3.900e+02 1.933e+02
4.000e+02 2.631e+02
4.100e+02 2.410e+02
4.200e+02 2.426e+02
4.300e+02 1.860e+02
4.400e+02 2.413e+02
4.500e+02 2.676e+02
4.600e+02 2.548e+02
4.700e+02 2.389e+02
4.800e+02 2.440e+02
4.900e+02 2.291e+02
5.000e+02 2.116e+02
5.100e+02 2.014e+02
5.200e+02 1.867e+02
5.300e+02 1.881e+02
5.400e+02 1.742e+02
5.500e+02 1.756e+02
5.600e+02 1.602e+02
5.700e+02 1.566e+02
5.800e+02 1.540e+02
5.900e+02 1.417e+02
6.000e+02 1.410e+02
6.100e+02 1.338e+02
6.200e+02 1.308e+02
6.300e+02 1.261e+02
6.400e+02 1.206e+02
6.500e+02 1.162e+02
6.600e+02 1.120e+02
6.700e+02 1.084e+02
6.800e+02 1.037e+02
6.900e+02 1.007e+02
7.000e+02 9.731e+01
7.100e+02 9.216e+01
7.200e+02 7.712e+01
7.300e+02 7.463e+01
7.400e+02 7.741e+01
7.500e+02 7.721e+01
7.600e+02 5.132e+01
7.700e+02 6.575e+01
7.800e+02 6.644e+01
7.900e+02 6.420e+01
8.000e+02 6.026e+01
8.100e+02 5.518e+01
8.200e+02 4.755e+01
8.300e+02 4.948e+01
8.400e+02 5.074e+01
8.500e+02 4.585e+01
8.600e+02 4.805e+01
8.700e+02 4.684e+01
8.800e+02 4.509e+01
8.900e+02 4.219e+01
9.000e+02 3.318e+01
9.100e+02 3.289e+01
9.200e+02 3.270e+01
9.300e+02 1.630e+01
9.400e+02 1.323e+01
9.500e+02 1.229e+01
9.600e+02 1.470e+01
9.700e+02 2.453e+01
9.800e+02 2.541e+01
9.900e+02 2.751e+01
1.000e+03 2.761e+01
