wavelength direct_irrad
3.500e+02 5.102e+02
3.600e+02 5.393e+02
3.700e+02 6.808e+02
3.800e+02 6.413e+02
3.900e+02 6.897e+02
4.000e+02 9.952e+02
4.100e+02 9.605e+02
4.200e+02 1.017e+03
4.300e+02 8.176e+02
4.400e+02 1.111e+03
4.500e+02 1.288e+03
4.600e+02 1.278e+03
4.700e+02 1.247e+03
4.800e+02 1.323e+03
4.900e+02 1.291e+03
5.000e+02 1.237e+03
5.100e+02 1.219e+03
5.200e+02 1.169e+03
5.300e+02 1.217e+03
5.400e+02 1.165e+03
5.500e+02 1.215e+03
5.600e+02 1.141e+03
5.700e+02 1.149e+03
5.800e+02 1.164e+03
5.900e+02 1.103e+03
6.000e+02 1.132e+03
6.100e+02 1.104e+03
6.200e+02 1.109e+03
6.300e+02 1.099e+03
6.400e+02 1.080e+03
6.500e+02 1.070e+03
6.600e+02 1.057e+03
6.700e+02 1.048e+03
6.800e+02 1.028e+03
6.900e+02 1.022e+03
7.000e+02 1.014e+03
7.100e+02 9.829e+02
7.200e+02 8.422e+02
7.300e+02 8.347e+02
7.400e+02 8.867e+02
7.500e+02 9.060e+02
7.600e+02 6.162e+02
7.700e+02 8.084e+02
7.800e+02 8.365e+02
7.900e+02 8.279e+02
8.000e+02 7.962e+02
8.100e+02 7.435e+02
8.200e+02 6.535e+02
8.300e+02 6.938e+02
8.400e+02 7.259e+02
8.500e+02 6.695e+02
8.600e+02 7.164e+02
8.700e+02 7.130e+02
8.800e+02 7.011e+02
8.900e+02 6.702e+02
9.000e+02 5.386e+02
9.100e+02 5.437e+02
9.200e+02 5.504e+02
9.300e+02 2.794e+02
9.400e+02 2.311e+02
9.500e+02 2.188e+02
9.600e+02 2.666e+02
9.700e+02 4.535e+02
9.800e+02 4.791e+02
9.900e+02 5.290e+02
1.000e+03 5.418e+02
