wavelength direct_irrad
3.500e+02 3.934e+02
3.600e+02 4.185e+02
3.700e+02 5.313e+02
3.800e+02 5.029e+02
3.900e+02 5.431e+02
4.000e+02 7.868e+02
4.100e+02 7.618e+02
4.200e+02 8.088e+02
4.300e+02 6.522e+02
4.400e+02 8.883e+02
4.500e+02 1.033e+03
4.600e+02 1.026e+03
4.700e+02 1.003e+03
4.800e+02 1.065e+03
4.900e+02 1.040e+03
5.000e+02 9.982e+02
5.100e+02 9.839e+02
5.200e+02 9.443e+02
5.300e+02 9.828e+02
5.400e+02 9.418e+02
5.500e+02 9.817e+02
5.600e+02 9.223e+02
5.700e+02 9.278e+02
5.800e+02 9.409e+02
5.900e+02 8.931e+02
6.000e+02 9.159e+02
6.100e+02 8.947e+02
6.200e+02 9.008e+02
6.300e+02 8.935e+02
6.400e+02 8.802e+02
6.500e+02 8.729e+02
6.600e+02 8.635e+02
6.700e+02 8.576e+02
6.800e+02 8.420e+02
6.900e+02 8.371e+02
7.000e+02 8.320e+02
7.100e+02 8.065e+02
7.200e+02 6.761e+02
7.300e+02 6.718e+02
7.400e+02 7.267e+02
7.500e+02 7.462e+02
7.600e+02 4.732e+02
7.700e+02 6.559e+02
7.800e+02 6.899e+02
7.900e+02 6.820e+02
8.000e+02 6.554e+02
8.100e+02 6.063e+02
8.200e+02 5.238e+02
8.300e+02 5.627e+02
8.400e+02 5.954e+02
8.500e+02 5.535e+02
8.600e+02 5.927e+02
8.700e+02 5.901e+02
8.800e+02 5.802e+02
8.900e+02 5.524e+02
9.000e+02 4.302e+02
9.100e+02 4.367e+02
9.200e+02 4.439e+02
9.300e+02 1.997e+02
9.400e+02 1.602e+02
9.500e+02 1.506e+02
9.600e+02 1.913e+02
9.700e+02 3.598e+02
9.800e+02 3.859e+02
9.900e+02 4.360e+02
1.000e+03 4.497e+02
