wavelength diffuse_irrad
3.500e+02 1.684e+02
3.600e+02 1.656e+02
3.700e+02 1.954e+02
3.800e+02 1.728e+02
3.900e+02 1.751e+02
4.000e+02 2.388e+02
4.100e+02 2.190e+02
4.200e+02 2.207e+02
4.300e+02 1.694e+02
4.400e+02 2.199e+02
4.500e+02 2.442e+02
4.600e+02 2.325e+02
4.700e+02 2.183e+02
4.800e+02 2.229e+02
4.900e+02 2.094e+02
5.000e+02 1.934e+02
5.100e+02 1.841e+02
5.200e+02 1.707e+02
5.300e+02 1.717e+02
5.400e+02 1.591e+02
5.500e+02 1.603e+02
5.600e+02 1.462e+02
5.700e+02 1.427e+02
5.800e+02 1.405e+02
5.900e+02 1.293e+02
6.000e+02 1.286e+02
6.100e+02 1.222e+02
6.200e+02 1.197e+02
6.300e+02 1.155e+02
6.400e+02 1.107e+02
6.500e+02 1.068e+02
6.600e+02 1.030e+02
6.700e+02 9.981e+01
6.800e+02 9.561e+01
6.900e+02 9.271e+01
7.000e+02 8.983e+01
7.100e+02 8.503e+01
7.200e+02 6.960e+01
7.300e+02 6.752e+01
7.400e+02 7.130e+01
7.500e+02 7.146e+01
7.600e+02 4.427e+01
7.700e+02 5.994e+01
7.800e+02 6.156e+01
7.900e+02 5.941e+01
8.000e+02 5.571e+01
8.100e+02 5.052e+01
8.200e+02 4.279e+01
8.300e+02 4.505e+01
8.400e+02 4.671e+01
8.500e+02 4.255e+01
8.600e+02 4.462e+01
8.700e+02 4.351e+01
8.800e+02 4.188e+01
8.900e+02 3.902e+01
9.000e+02 2.974e+01
9.100e+02 2.964e+01
9.200e+02 2.959e+01
9.300e+02 1.307e+01
9.400e+02 1.029e+01
9.500e+02 9.491e+00
9.600e+02 1.183e+01
9.700e+02 2.182e+01
9.800e+02 2.296e+01
9.900e+02 2.542e+01
1.000e+03 2.570e+01
