wavelength diffuse_irrad
3.500e+02 2.008e+02
3.600e+02 1.967e+02
3.700e+02 2.313e+02
3.800e+02 2.038e+02
3.900e+02 2.059e+02
4.000e+02 2.801e+02
4.100e+02 2.562e+02
4.200e+02 2.578e+02
4.300e+02 1.974e+02
4.400e+02 2.560e+02
4.500e+02 2.837e+02
4.600e+02 2.699e+02
4.700e+02 2.530e+02
4.800e+02 2.583e+02
4.900e+02 2.425e+02
5.000e+02 2.239e+02
5.100e+02 2.131e+02
5.200e+02 1.976e+02
5.300e+02 1.991e+02
5.400e+02 1.844e+02
5.500e+02 1.859e+02
5.600e+02 1.697e+02
5.700e+02 1.659e+02
5.800e+02 1.631e+02
5.900e+02 1.500e+02
6.000e+02 1.493e+02
6.100e+02 1.416e+02
6.200e+02 1.383e+02
6.300e+02 1.331e+02
6.400e+02 1.272e+02
6.500e+02 1.225e+02
6.600e+02 1.179e+02
6.700e+02 1.140e+02
6.800e+02 1.091e+02
6.900e+02 1.059e+02
7.000e+02 1.022e+02
7.100e+02 9.684e+01
7.200e+02 8.213e+01
7.300e+02 7.936e+01
7.400e+02 8.141e+01
7.500e+02 8.097e+01
7.600e+02 5.617e+01
7.700e+02 6.958e+01
7.800e+02 6.962e+01
7.900e+02 6.732e+01
8.000e+02 6.322e+01
8.100e+02 5.822e+01
8.200e+02 5.072e+01
8.300e+02 5.239e+01
8.400e+02 5.336e+01
8.500e+02 4.798e+01
8.600e+02 5.027e+01
8.700e+02 4.899e+01
8.800e+02 4.716e+01
8.900e+02 4.424e+01
9.000e+02 3.546e+01
9.100e+02 3.504e+01
9.200e+02 3.475e+01
9.300e+02 1.865e+01
9.400e+02 1.542e+01
9.500e+02 1.439e+01
9.600e+02 1.678e+01
9.700e+02 2.633e+01
9.800e+02 2.703e+01
9.900e+02 2.885e+01
1.000e+03 2.884e+01
